classical_algorithm,key_size,pqc_replacement,Function,Deprecation_Date_Label,Standardization_Date_Label,Region,Status,status_url,Deprecation_Date_ISO,Standardization_Date_ISO,data_quality_notes
RSA,4096-bit,FrodoKEM-1344 (BSI/ANSSI/ISO Level 5),Encryption/KEM,2035 (Disallowed),ISO/IEC 18033-2 Amd2 approved; BSI TR-02102-1 recommended,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html,2035-01-01,,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH (P-256),256-bit,FrodoKEM-640 (BSI/ISO Level 1),Encryption/KEM,2035 (Disallowed),ISO/IEC 18033-2 Amd2 approved; BSI TR-02102-1 recommended,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html,2035-01-01,,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,3072-bit,Classic McEliece 460896 (BSI Level 1),Encryption/KEM,2035 (Disallowed),BSI TR-02102-1 recommended; NIST delayed for ISO alignment,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en,2035-01-01,,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,4096-bit,Classic McEliece 6688128 (BSI Level 5),Encryption/KEM,2035 (Disallowed),BSI TR-02102-1 recommended; NIST delayed for ISO alignment,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en,2035-01-01,,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
Any (Attribute-Based Encryption),,Covercrypt (ETSI TS 104 015),Hybrid KEM with Access Control,,Feb 2025 (ETSI TS 104 015 published),ETSI,ETSI TS 104 015,https://www.etsi.org/deliver/etsi_ts/104000_104099/104015/01.01.01_60/ts_104015v010101p.pdf,,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,UOV (NIST Sig Round 2 — Multivariate),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,MAYO (NIST Sig Round 2 — Multivariate),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,SQIsign (NIST Sig Round 2 — Isogeny),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,CROSS (NIST Sig Round 2 — Code-based),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,LESS (NIST Sig Round 2 — Code-based),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,FAEST (NIST Sig Round 2 — Hash-based),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,HAWK (NIST Sig Round 2 — Lattice),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-256),256-bit,SNOVA (NIST Sig Round 2 — Multivariate),Signature,2035 (Disallowed),NIST Additional Sig Round 2 (Oct 2024); final ~2027,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA-PSS + ML-DSA,Composite,ML-DSA-44-RSA2048-PSS (IETF Composite Sig),Composite Signature,2035 (Disallowed),IETF draft-ietf-lamps-pq-composite-sigs-15 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA + ML-DSA,Composite,ML-DSA-44-ECDSA-P256 (IETF Composite Sig),Composite Signature,2035 (Disallowed),IETF draft-ietf-lamps-pq-composite-sigs-15 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
Ed25519 + ML-DSA,Composite,ML-DSA-44-Ed25519 (IETF Composite Sig),Composite Signature,2035 (Disallowed),IETF draft-ietf-lamps-pq-composite-sigs-15 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDH + ML-KEM,Composite,ML-KEM-768-ECDH-P256 (IETF Composite KEM),Composite KEM,2035 (Disallowed),IETF draft-ietf-lamps-pq-composite-kem-12 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA-OAEP + ML-KEM,Composite,ML-KEM-768-RSA-OAEP-2048 (IETF Composite KEM),Composite KEM,2035 (Disallowed),IETF draft-ietf-lamps-pq-composite-kem-12 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
DH (Diffie-Hellman),3072-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
DH (Diffie-Hellman),4096-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA PKCS#1 v1.5,2048-bit,ML-DSA-44 (NIST Level 2),Signature,2030 (Deprecated) / 2035 (Disallowed),2024 (FIPS 204),NIST,FIPS 204,https://csrc.nist.gov/pubs/fips/204/final,2030-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA PKCS#1 v1.5,3072-bit,ML-DSA-65 (NIST Level 3),Signature,2035 (Disallowed),2024 (FIPS 204),NIST,FIPS 204,https://csrc.nist.gov/pubs/fips/204/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA-PSS,4096-bit,SLH-DSA-SHA2-256s (Level 5),Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-521),521-bit,SLH-DSA-SHA2-256s (Level 5),Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
Ed25519,256-bit,SLH-DSA-SHAKE-128s (Level 1),Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
ECDSA (P-384),384-bit,SLH-DSA-SHAKE-192s (Level 3),Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
DH (Diffie-Hellman),2048-bit,HQC-128 (NIST Level 1),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
DH (Diffie-Hellman),3072-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
SHA-1,160-bit,SHA-256 (FIPS 180-4),Hash,Deprecated 2011 / Disallowed 2030 — Grover: no additional risk (classically broken),2012 (FIPS 180-4 Rev),NIST,FIPS 180-4,https://csrc.nist.gov/pubs/fips/180-4/final,2011-01-01,2012-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
MD5,128-bit,SHA-256 (FIPS 180-4),Hash,Disallowed — classically broken; Grover not primary concern,2012 (FIPS 180-4 Rev),NIST,FIPS 180-4,https://csrc.nist.gov/pubs/fips/180-4/final,,2012-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
HPKE (X25519+HKDF),256-bit,"HPKE-PQ (ML-KEM-768 + X25519, IETF)",Hybrid KEM (HPKE),2035 (Disallowed),IETF draft-ietf-hpke-pq-03 (2025),IETF,Candidate,,2035-01-01,2025-01-01,Proposed 2026-05-06: Deprecation Date renamed to Deprecation_Date_Label; Standardization Date renamed to Standardization_Date_Label; ISO 8601 machine-readable columns Deprecation_Date_ISO and Standardization_Date_ISO added.
RSA,2048-bit,BIKE-1,Encryption/KEM,2030 (Deprecated),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2030-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,BIKE-3,Encryption/KEM,2035 (Disallowed),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,BIKE-5,Encryption/KEM,2035 (Disallowed),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,Classic-McEliece-348864,Encryption/KEM,2030 (Deprecated),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2030-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,Classic-McEliece-8192128,Encryption/KEM,2035 (Disallowed),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,Classic-McEliece-6960119,Encryption/KEM,2035 (Disallowed),Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,2035-01-01,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,,Classic-McEliece,Encryption/KEM,,Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,,HQC,Encryption/KEM,,Round 4 Candidate,NIST,Round 4,https://csrc.nist.gov/projects/post-quantum-cryptography,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,SLH-DSA-SHA2-128f,Signature,2030 (Deprecated),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2030-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,SLH-DSA-SHAKE-128f,Signature,2030 (Deprecated),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2030-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,SLH-DSA-SHA2-192f,Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,SLH-DSA-SHAKE-192f,Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,SLH-DSA-SHA2-256f,Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,SLH-DSA-SHAKE-256f,Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,SLH-DSA-SHAKE-256s,Signature,2035 (Disallowed),2024 (FIPS 205),NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,2035-01-01,2024-01-01,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHA2-128-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHAKE-128-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHA2-192-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHAKE-192-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHA2-256-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
,,SLH-DSA-SHAKE-256-24,Signature,,IETF Draft,IETF,Draft,https://datatracker.ietf.org/doc/draft-ietf-cose-sphincs-plus/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,SMAUG-T-128,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,SMAUG-T-192,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,SMAUG-T-256,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,NTRU+-768,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,3072-bit,NTRU+-1152,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,NTRU+-1277,Encryption/KEM,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,Aigis-enc-L1,Encryption/KEM,,Research/Academic,CN,Research,,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,Aigis-enc-L5,Encryption/KEM,,Research/Academic,CN,Research,,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,2048-bit,Aigis-sig-L1,Signature,,Research/Academic,CN,Research,,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
RSA,4096-bit,Aigis-sig-L5,Signature,,Research/Academic,CN,Research,,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,256-bit,HAETAE-2,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,384-bit,HAETAE-3,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
ECDSA,521-bit,HAETAE-5,Signature,,KpqC Round 2,KR,KpqC Round 2,https://kpqc.cryptolab.co.kr/,,,"Added 2026-05-10: variant set completion (BIKE, additional Classic-McEliece, SLH-DSA fast variants, SMAUG-T, NTRU+, Aigis, HAETAE, AIMer, MAYO, HAWK, IETF SLH-DSA codepoints, LMS, XMSS, composite ML-DSA hybrids)."
