patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp,filing_date,status,deprecated_at,deprecated_reason
20210233108,"SYSTEM AND METHOD FOR SECURE CONTENT STREAMING, GOVERNANCE, FRAUD PREVENTION, AND THE EMBEDDING ARTIFICIAL INTELLIGENCE INTO CONTENT",Gouneili; Razmun,Gouneili; Razmun,2021-04-12,2021-07-29,H04N21/6582;G06Q20/1235;G06F21/10;H04N21/4405;G06F21/44;H04L9/006;H04L9/0825;G10L15/22;G06F21/45;G06F16/2465;G06N5/04;G06F21/32;H04N21/251;H04L63/062;H04N21/2585;G06Q30/0248;G06Q30/0201;H04N21/4542;G10L15/08;H04N21/44204;H04L63/0442;H04N21/44213;G06V20/10,"An automated system for secure content streaming that embeds logic, encryption, and heuristics into media streams to prevent fraud using PKI, biometrics, and AI-driven real-time monitoring.",,unclear,none,none,none,PKI,,,none,generation; exchange; distribution,mobile; IoT,knowledge; inherence/biometric,,MITM; replay; insider; side-channel,OS,symmetric-cipher; KEM,telecom; cloud; PKI,automated system for streamed contents; method for controlled streaming of contents; computer program product for controlled streaming,,PII; biometric; session-keys; transactions,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""automated system for streamed contents""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""authorization message for offline usages""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""symmetric encryption keys for encrypted communication""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""call-home data for data mining and analytics""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""fraud detection and prevention modules""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""metadata for defining heuristics""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""specific metadata types for fraud detection""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""fraud-prevention policies including self-erase and ultrasound embedding""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""method for controlled streaming of contents""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""saving login credentials""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""streaming and decoding embedded logic""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""buffering for offline play""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""retaining call-home data in output buffer""}, {""claim"": 14, ""depends_on"": [], ""subject"": ""computer program product for controlled streaming""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""encryption module for authentication""}, {""claim"": 16, ""depends_on"": [14], ""subject"": ""call-home data transfer module""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""symmetric key generating module""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""targeted advertising and marketing module""}, {""claim"": 19, ""depends_on"": [17], ""subject"": ""fraud detection and prevention modules""}, {""claim"": 20, ""depends_on"": [14], ""subject"": ""fraud prevention policies""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2021-04-12,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
11075751,Modular valuable media recycling device,Whytock; Alexander William et al.,NCR Corporation,2018-04-26,2021-07-27,G07F19/211;H04L9/38;H04L9/3242;H04L9/006;H04L9/32;G07F19/205;H04L9/0894;H04L9/0866,A modular media recycling device uses a secure device-level Intranet where independent modules validate cryptographic messages containing identifiers to authenticate media handling steps during transactions.,"The invention provides a modular recycling device where each module independently validates security messages from previous modules via a secure device-level Intranet. This distributed authentication ensures that media items are only processed by verified, authentic modules, preventing tampering or unauthorized component substitution.",unclear,none,none,none,PKI,,,none,generation; distribution; storage,HSM,possession,,insider; tampering; component_substitution,,signature; MAC,banking,method for secure message passing in modular recycling device; method for validating security messages in modular recycling device; modular recycling device with secure device-level Intranet,,financial,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for wiring modules as secure Intranet and passing security messages""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""encrypting security message""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""generating message in response to previous message""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""authenticating previous message""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""verifying previous module via cryptographic operations""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""receiving item from transport track""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""performing data operations""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""instructing electromechanical components""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""method for receiving note, validating message, and generating new message""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""verifying note processed by authentic module""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""processing cryptographic operations on secure processor""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""activating electromechanical component""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""encrypting module identifier""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""inserting date and time stamp""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""digitally signing message""}, {""claim"": 16, ""depends_on"": [9], ""subject"": ""sending message to next processing node""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""modular recycling device with secure Intranet and validating modules""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""device integrated into media transaction terminal""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2018-04-26,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
11075765,Scope-based certificate deployment,Rathinasabapathy; Mangalam et al.,"Microsoft Technology Licensing, LLC",2019-05-21,2021-07-27,H04L9/3268;H04L9/14;H04L9/3265;H04L9/3247;H04L9/3263;H04L9/006;H04L9/30,A method for scope-based certificate deployment in multi-tenant cloud environments that identifies tenants via request metadata and deploys tenant-specific certificates only to machines storing that tenant's data.,The invention scopes tenant-specific certificates to specific machines within a multi-tenant cloud farm based on metadata in authentication requests. This allows dedicated tenant data to reside side-by-side with non-dedicated data while maintaining isolated certificate security per tenant.,classical_only,in_place_upgrade,none,none,PKI; X.509; SSL,,,none,distribution; storage; rotation,,possession,X.509,insider,,signature,cloud; PKI,method of operating a front-end access server for scope-based certificate deployment; computer readable storage medium for scope-based certificate deployment; method of operating a front-end access server for scope-based certificate deployment,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of operating a front-end access server to facilitate scope-based certificate deployment""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""tenant-specific certificate types including SSL, email encryption, or code signing""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""certificate issued by a third-party certificate authority""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""deploying global certificates to machines""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""authenticating with a back-end service using a shared certificate""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""authenticating a server using the tenant-specific certificate""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""receiving a request to change certificate type from global to scope-based""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""reimaging machines responsive to certificate type change""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""computer readable storage medium for scope-based certificate deployment""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""tenant-specific certificate types including SSL, email encryption, or code signing""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""certificate issued by a third-party certificate authority""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""deploying global certificates to machines""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""authenticating with a back-end service using a shared certificate""}, {""claim"": 14, ""depends_on"": [9], ""subject"": ""reimaging machines responsive to certificate type change""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""method of operating a front-end access server for scope-based certificate deployment with multiple scopes""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""scope comprising a particular region or content farm""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""scope-based certificate types including SSL, email encryption, or code signing""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2019-05-21,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20210224212,SYSTEM AND A METHOD FOR SECURE DATA TRANSFER USING AIR GAPPING HARDWARE PROTOCOL,GANCARZ; Kamil Rafal,"Fundacja ""Blockchain Development Foundation""",2021-01-19,2021-07-22,G06F13/4022;H04L9/3247;G06F21/72;G06F21/85;H04L9/006;H04L9/0825;H04L9/083;H04L9/3213;H04L63/0209;H04L63/0471,"A hardware system using a physical switch to air-gap a secure module containing private keys from a public network module, enabling encrypted data transfer via a bridge memory.","The invention provides a system with a bridge module containing a switch that physically prevents simultaneous connection between a public network interface and a secure module storing private keys. This ensures that cryptographic operations occur in an isolated environment, with data transferred only via a memory buffer in the bridge.",unclear,none,none,none,TCP/IP,,,none,storage; rotation,FPGA; ASIC; ROM; Flash memory; microcontroller; switch,possession,,HNDL; MITM; insider,,symmetric-cipher; signature,IoT; telecom; government,system for secure data transfer using air gapping; method for secure data transfer using air gapping (sending); method for secure data transfer using air gapping (receiving),,sensitive data; manufacturing data,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for secure data transfer using air gapping""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""switch is SPDT""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""modules integrated in common housing""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""modules integrated in common housing""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""second module data interface with buffers""}, {""claim"": 6, ""depends_on"": [2], ""subject"": ""second module data interface with buffers""}, {""claim"": 7, ""depends_on"": [3], ""subject"": ""second module data interface with buffers""}, {""claim"": 8, ""depends_on"": [4], ""subject"": ""second module data interface with buffers""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""method for sending secure data""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""method for receiving secure data""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2021-01-19,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20210226940,AUTOMATED RENEWAL OF CERTIFICATES ACROSS A DISTRIBUTED COMPUTING SECURITY SYSTEM,Couto; Luis Diogo Monteiro Duarte et al.,Forcepoint LLC,2020-01-21,2021-07-22,H04L63/0281;H04L9/3247;H04L9/3263;H04L9/3268;H04L63/108;H04L9/3265;H04L63/0823;H04L9/006,A system for automated renewal of anchor certificates in distributed computing environments by monitoring expiration dates and generating certificate signing requests to ensure continuous security operations.,"The invention provides a proxy system and certificate expiration monitor that automatically detect when anchor certificates for data processing systems are nearing expiration. Upon detection, the system generates a certificate signing request to facilitate the automated replacement of the expiring certificate with a new one.",unclear,none,none,none,PKI; X.509,,,none,generation; rotation,,,RFC 5280,MITM,,signature,PKI; cloud,system for data processing; method for data processing; data memory device storing algorithmic instructions,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for data processing""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""receiving and replacing anchor certificate""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""proxy receiving and replacing anchor certificate""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""determining validity of anchor certificate""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""validity per RFC 5280""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""validity per RFC 5280 and CRL""}, {""claim"": 7, ""depends_on"": [4], ""subject"": ""replacing certificate after validity check""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""method for data processing""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""receiving and replacing anchor certificate""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""proxy receiving and replacing anchor certificate""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""determining validity of anchor certificate""}, {""claim"": 12, ""depends_on"": [8], ""subject"": ""validity per RFC 5280""}, {""claim"": 13, ""depends_on"": [8], ""subject"": ""validity per RFC 5280 and CRL""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""replacing certificate after validity check""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""data memory device storing instructions""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""receiving and replacing anchor certificate""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""proxy receiving and replacing anchor certificate""}, {""claim"": 18, ""depends_on"": [15], ""subject"": ""determining validity of anchor certificate""}, {""claim"": 19, ""depends_on"": [15], ""subject"": ""validity per RFC 5280""}, {""claim"": 20, ""depends_on"": [15], ""subject"": ""validity per RFC 5280 and CRL""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2020-01-21,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20210226782,QUANTUM COMPUTER RESISTANT PRE-SHARED KEY DISTRIBUTION FOR LARGE SCALE WIDE AREA NETWORK SOLUTIONS,Florit; Lionel et al.,"Cisco Technology, Inc.",2020-01-22,2021-07-22,H04L9/0844;H04L9/0852;H04L9/304;H04L9/0869;H04L9/3228,A method for establishing quantum-resistant secure communications by distributing a secret seed via McEliece encryption to synchronize Session Key Services for pre-shared key derivation.,"The invention provides a method for establishing a common secret seed between communications devices using post-quantum public-key encryption, such as McEliece. This seed initializes synchronized Session Key Services (SKS) that deterministically generate identical pre-shared keys, enabling quantum-resistant session key derivation without direct key exchange.",hybrid,hybrid,dependent_claim_only,"The invention is explicitly designed to be 'quantum computer resistant' to counter Shor's algorithm attacks on classical public-key cryptography. It utilizes post-quantum algorithms like McEliece for the initial secret seed distribution, which is a core step in the independent claims. While QKD is mentioned as an alternative or complementary technology, the primary claimed invention relies on post-quantum public-key encryption to achieve quantum resistance.",TLS; IKEv2; IPSec; MACSec,RSA; AES; AES-256; AES-128,McEliece; NTRU,quantum_computing; qkd,generation; derivation; exchange; distribution; rotation,router; switch; smart-phone; computer,possession,RFC 7296; RFC 2409,quantum-attack; cryptanalysis,TRNG,KEM; KDF; symmetric-cipher,telecom; cloud; government,method for establishing secure communications; device for key distribution and derivation,key-size,session-keys; pre-shared-keys,,,[],"[{""algorithm"": ""Classic McEliece"", ""status"": ""round4_candidate""}, {""algorithm"": ""NTRU"", ""status"": ""round4_candidate""}, {""algorithm"": ""RSA"", ""status"": ""classical""}, {""algorithm"": ""AES"", ""status"": ""classical""}]",8,"Addresses PQC key distribution for WANs, directly relevant to HNDL mitigation and large-scale migration.",no_citations_recorded,high_pqc_relevance,yes,2026-07-10,,active,,
11068607,Protecting cognitive code and client data in a public cloud via deployment of data and executables into a secure partition with persistent data,Boivie; Richard H. et al.,International Business Machines Corporation,2018-03-10,2021-07-20,G06F9/45558;G06F21/602;G06F21/53;H04L9/30;H04L9/3213;H04L9/3234;G06F21/6218;H04L9/006,"A secure cloud computing method uses an ultravisor to isolate appliance code in a secure virtual machine, revoking device access except for shared memory and encrypted persistent storage to protect client data and code.",The invention isolates application code in a secure virtual machine where an ultravisor revokes all device access except for a shared memory interface and an encrypted persistent storage device. This architecture prevents the application code from leaking client data while simultaneously protecting the proprietary code from the client and cloud administrators.,unclear,none,none,none,,,,none,storage,FPGA,possession,,insider,,,cloud,method of protecting client data from unauthorized disclosure; secure computing system; computer program product,,client data; application code,,US8332652; US8819446,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of protecting client data from unauthorized disclosure""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""appliance and client as secure virtual machines with ultravisor""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""ultravisor exclusive access control""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""token creation and decryption using public key""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""ultravisor controlling device tree""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""saving data to encrypted storage and deactivating partition""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""appliance deployed from different logical partition""}, {""claim"": 8, ""depends_on"": [2], ""subject"": ""ultravisor preventing access to appliance and code""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""secure computing system""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""system with second secure virtual machine""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""system with ultravisor""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""system with client SVM and token mechanism""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""ultravisor exclusive access control""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""token creation and decryption using public key""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""ultravisor controlling device tree""}, {""claim"": 16, ""depends_on"": [9], ""subject"": ""saving data to encrypted storage and deactivating partition""}, {""claim"": 17, ""depends_on"": [9], ""subject"": ""appliance deployed from different logical partition""}, {""claim"": 18, ""depends_on"": [12], ""subject"": ""ultravisor preventing access to appliance and code""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""computer program product""}]",[],,,citations_present:2,score_pending_review,yes,2026-05-06,2018-03-10,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
11070355,Profile installation based on privilege level,Li; Li et al.,Apple Inc.,2018-06-29,2021-07-20,H04W12/069;H04L63/105;H04L9/0838;H04W12/37;H04W12/04;H04L9/006;H04L9/3268;H04L9/14;H04L9/3271;H04W12/35;H04W12/08;H04L9/3247,"A secure element determines a privilege level via signature verification or certificate parsing to selectively allow installation of test, operational, or provisioning profiles based on the signer's authority.",The invention enables a secure element to restrict profile installation types based on a privilege level derived from the specific key used to verify a signature or a value parsed from a certificate extension. This allows lower-security test servers to provision test profiles without requiring the commercial certification needed for operational profiles.,classical_only,none,none,none,PKI; OCSP,,,none,storage; distribution,smart-card; mobile,possession,SGP.22,insider,,signature,telecom,method for profile installation based on privilege level; secure element for profile installation based on privilege level,,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for profile installation based on privilege level""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""obtaining key from non-volatile memory""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""privilege level associated with key""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""plurality of keys with varying privilege levels""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""privilege level not associated with key""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""parsing privilege level from certificate extension""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""installing test profile""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""performing profile management command""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""types of profile management commands""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""installing operational profile""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""performing AKA transaction""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""installing provisioning profile""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""secure element for profile installation based on privilege level""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""obtaining key from non-volatile memory""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""plurality of keys with varying privilege levels""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""parsing privilege level from certificate extension""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""installing test profile""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""performing profile management command""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""installing operational profile and performing AKA""}, {""claim"": 20, ""depends_on"": [13], ""subject"": ""installing provisioning profile""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2018-06-29,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
11070537,Stateless method for securing and authenticating a telecommunication,Brun; Paul-Emmanuel et al.,CASSIDIAN CYBERSECURITY SAS,2016-11-10,2021-07-20,H04L9/3213;H04L63/126;H04L9/3236;H04L9/3249;H04L63/08;H04L9/3247;H04L9/006;H04L9/3226,"A stateless communication method secures data exchanges using an authentication header containing identifiers, a security profile, and a time-based message ID to enable encryption and signature verification without session management.",The invention provides a stateless communication method where a security profile in an authentication header dynamically defines encryption and signature conditions for each message. It utilizes a time-based message identifier and stored user/equipment identifiers to prevent replay attacks and manage revocation without requiring a persistent session or third-party authentication server.,negotiated,none,none,none,REST; HTTP; PKI,RSA; AES,,none,generation; exchange; storage; rotation,TPM; mobile; IoT,knowledge; possession,,replay; MITM; eavesdropping,,symmetric-cipher; KEM; signature,telecom; cloud,method of communication between two entities; method comprising enrolment request generation; communicating entities comprising memory and calculator,bandwidth,PII; transactions,,US8621598,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of communication between two entities""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""data set to sign composition""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""security profile with asymmetric encryption""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""security profile with symmetric and asymmetric encryption""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""security profile with response message parameters""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""server means for revocation""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""method comprising enrolment request generation""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""user account creation and key generation""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""method comprising enrolment request and server processing""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""key renewal procedure""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""communicating entities apparatus""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""physical memory with instructions""}, {""claim"": 13, ""depends_on"": [7], ""subject"": ""communicating entities apparatus for enrolment""}]",[],,,citations_present:1,score_pending_review,yes,2026-05-06,2016-11-10,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20210218710,SECURITY MANAGEMENT FOR NETWORKED CLIENT DEVICES USING A DISTRIBUTED LEDGER SERVICE,FALLAH; Jay et al.,NXM LABS CANADA INC.,2019-05-10,2021-07-15,H04L9/14;H04L63/0876;H04L67/1044;G06F16/27;H04L9/50;G06F16/9024;H04L9/3297;H04L9/30;H04L63/0281;H04L9/006;H04L9/3239,"A system manages IoT device security using a distributed ledger to store encryption keys and associations, accessed via a proxy that separates public device communication from private ledger transactions.",The invention provides a proxy computing system that mediates between network-enabled client devices and a distributed ledger. The proxy exchanges security messages over a public path while engaging in private transactions on the ledger to manage device identities and encryption keys.,unclear,none,none,none,TLS,RSA; ECDSA; AES; SHA-256,,none,generation; storage; distribution,IoT; mobile; TPM,possession,,MITM; insider,TRNG,symmetric-cipher; signature; hash,IoT; blockchain,system for managing network-enabled client devices; method for managing network-enabled client devices; system with data storage or distribution,,PII; session-keys; root-keys; transactions,HIPAA; GDPR,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for managing network-enabled client devices""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""distributed ledger stores associations between unique identifiers and encryption keys""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""distributed ledger stores pairing and administrator associations""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""proxy generates transactions based on security requests""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""proxy receives output from distributed ledger""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""proxy accesses copy of ledger over third path""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""transaction adds pairing association and retrieves public key""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""system includes plurality of network-enabled client devices""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""client device self-generates unique identifier""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""method for managing network-enabled client devices""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""distributed ledger stores associations between unique identifiers and encryption keys""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""distributed ledger stores pairing and administrator associations""}, {""claim"": 13, ""depends_on"": [10], ""subject"": ""proxy receives request and generates transaction""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""proxy receives output from distributed ledger""}, {""claim"": 15, ""depends_on"": [10], ""subject"": ""proxy accesses copy of ledger over third path""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""transaction adds pairing association and retrieves public key""}, {""claim"": 17, ""depends_on"": [10], ""subject"": ""client device self-generates unique identifier""}, {""claim"": 18, ""depends_on"": [10, 11, 12, 13, 14, 15, 16, 17], ""subject"": ""non-transitory computer-readable media""}, {""claim"": 19, ""depends_on"": [], ""subject"": ""system with data storage or distribution computing system""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""system includes data storage or distribution computing system""}, {""claim"": 21, ""depends_on"": [19], ""subject"": ""system includes client devices transmitting vendible data""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06,2019-05-10,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
20210216300,SECURE UPDATE PROPAGATION WITH DIGITAL SIGNATURES,Katsumata; Shuichi et al.,PQShield Ltd,2020-12-17,2021-07-15,H04L9/008;H04L9/0825;H04L9/3247;G06F8/65,A method for secure update propagation using set-homomorphic digital signatures to aggregate multiple update signatures into a single combined signature for efficient verification.,"The invention provides a method for a distributor to sign multiple updates using a set-homomorphic digital signature scheme, allowing the generation of a combined digital signature for a plurality of updates. Subscribers can verify the plurality of updates using this single combined signature, reducing verification operations and bandwidth compared to verifying individual signatures.",hybrid,none,background_only,"Quantum computing is mentioned in the description as a threat model that lattice-based schemes like FALCON address, providing post-quantum security. It is not a component of the invention itself but a property of the underlying cryptographic primitives used.",PKI,RSA; BLS,lattice-based,quantum_computing,generation; distribution,IoT; mobile,possession,,quantum-attack,TRNG,signature; hash,IoT; cloud,method for secure update propagation; distributor device; subscriber device,bandwidth; latency,software-updates,,US20070118746; US20080301448; US20110191764; US20130326224; US20130346755,[],"[{""algorithm"": ""Falcon"", ""status"": ""fips_204""}, {""algorithm"": ""NTRUSign"", ""status"": ""classical""}]",9.0,PQShield is a PQC specialist; digital signatures imply ML-DSA/Falcon migration for secure updates.,citations_present:5,high_pqc_relevance,yes,2026-05-06,2020-12-17,active,,
