industry,use_case_id,use_case_label,use_case_icon,protocols,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs
IT Industry / Software,it-libraries,Crypto libraries & TLS stacks,Code,tls-1-3;ssh,RSA;ECDSA;ECDH;X25519,ML-KEM;ML-DSA;SLH-DSA,production,"OpenSSL 3.5 shipped ML-KEM, ML-DSA, and SLH-DSA natively, putting PQC into the default dependency graph of most software; legacy pre-3.5 estates are the migration tail.",,OpenSSL PQC Integration,https://openssl-library.org/post/2025-04-08-openssl-35-final-release/,openssl-project,threats/IT-001.html,no,,0.85,2026-08-13,active,,,crypto-dev-apis,openssl-studio;tls-simulator;pqc-ssh-sim;slh-dsa,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05;draft-ietf-tls-mldsa-04;FIPS 205
IT Industry / Software,it-webpki,Web PKI & certificate authorities,Globe,x509;tls-1-3,RSA;ECDSA,ML-DSA,draft,CA root and intermediate keys (RSA-4096/ECDSA) anchor the web PKI under CA/Browser Forum baseline requirements; ML-DSA certificate profiles are advancing through IETF LAMPS.,RFC-5280,CA/Browser Forum PKI Standards,https://cabforum.org/working-groups/server/baseline-requirements/documents/,cabf,threats/IT-002.html,no,,0.85,2026-07-29,active,,,crypto-dev-apis,pki-workshop;cert-capacity;merkle-proof;sbx-cert-validation,RFC 5280;RFC 9881
IT Industry / Software,it-supplychain,Software supply chain (Sigstore/SLSA),GitBranch,sigstore,ECDSA,ML-DSA,pilot,Sigstore's Fulcio CA and Rekor transparency log sign with ECDSA; SLSA provenance levels make those signatures the trust anchor for software supply chains.,,SLSA Supply Chain Security Framework (OpenSSF),https://slsa.dev/spec/v1.0/levels,openssf,threats/IT-004.html,no,,0.85,2026-08-13,active,,,crypto-dev-apis,sbx-supply-chain-signing;sbx-osslsigncode;merkle-proof,Sigstore-Algorithm-Registry
IT Industry / Software,it-identity,"SSO, OAuth/OIDC & passkeys",Fingerprint,jose;fido-2,RSA;ECDSA,ML-DSA,draft,"SAML assertions, OAuth/OIDC tokens (JOSE), and FIDO2/WebAuthn attestation all sign with RSA/ECDSA; the FIDO Alliance has a PQC roadmap and JOSE/COSE composite drafts exist.",W3C-WebAuthn,Web Authentication: An API for accessing Public Key Credentials - Level 3,https://www.w3.org/TR/webauthn-3/,w3c,library/W3C_WebAuthn.html,yes,W3C,0.85,2026-07-29,active,,,crypto-dev-apis,api-security-jwt;token-migration;sbx-api-security-jwt,RFC 7515;draft-ietf-jose-pqc-kem;draft-vitap-ml-dsa-webauthn
IT Industry / Software,it-ssh,Administrative access (SSH),Terminal,ssh,RSA;ECDSA;ECDH;X25519,ML-KEM,production,SSH hybrid ML-KEM key exchange is standardized (RFC 9941) and deployed by default in current OpenSSH — administrative access is among the most PQC-ready surfaces in IT.,RFC-4253;RFC-9941,NIST FIPS 203/204/205 Post-Quantum Cryptography Standards,https://csrc.nist.gov/projects/post-quantum-cryptography,nist-csrc,threats/IT-003.html,yes,NIST,0.85,2026-08-13,active,,,crypto-dev-apis,pqc-ssh-sim;sbx-ssh,RFC 4253;RFC 9941;draft-ietf-sshm-mlkem-hybrid-kex-10;IETF RFC 5656
Legal / Notary / eSignature,leg-qes,Qualified e-signatures (AdES),PenTool,x509,RSA;ECDSA,ML-DSA,draft,Qualified signatures under eIDAS use RSA/ECDSA in XAdES/PAdES/CAdES formats with algorithm suites from ETSI TS 119 312; PQC suites are in ETSI's standardization pipeline.,ETSI-TS-119-312,eIDAS Regulation EU 910/2014 + ETSI TS 119 312,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/01.04.03_60/ts_119312v010403p.pdf,ec,threats/LEG-001.pdf,no,,0.85,2026-07-29,active,,,trust-services-pqc,pki-workshop;email-signing;hybrid-certs,RFC 5280;RFC 9881
Legal / Notary / eSignature,leg-wallet,EU digital identity wallets (eIDAS 2.0),Wallet,jose;cose;x509,ECDSA;RSA;ECDH,ML-DSA,draft,EUDI wallets under Regulation 2024/1183 authenticate holders and verifiers with ECDSA/RSA credentials; wallet attestation formats are where PQC composite signatures will land.,,EU Regulation 2024/1183 (eIDAS 2.0),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1183,ec,threats/LEG-002.html,no,,0.85,2026-07-29,active,,,trust-services-pqc,digital-id;api-security-jwt,RFC 7515;RFC 7519;draft-ietf-jose-pqc-kem
Legal / Notary / eSignature,leg-timestamp,Qualified timestamping (RFC 3161),Timer,x509,RSA;ECDSA,ML-DSA;LMS,none,"Qualified timestamp tokens (ETSI EN 319 422, RFC 3161) sign evidence of existence whose verifiability must outlast the signing algorithm — a canonical long-validity PQC case.",ETSI-TS-119-312,ETSI EN 319 422 Qualified Timestamp Policy,https://www.etsi.org/deliver/etsi_en/319400_319499/319422/01.01.01_60/en_319422v010101p.pdf,etsi-cyber,threats/LEG-003.pdf,no,,0.85,2026-08-13,active,,,trust-services-pqc,lms-hss;merkle-proof;pki-workshop,RFC 5280;RFC 9881;NIST SP 800-208
Media / Entertainment / DRM,media-drm,Content DRM key hierarchies,MonitorPlay,,ECDSA,,none,"AACS, PlayReady, and FairPlay rest on RSA key hierarchies burned into devices and discs; content licensing windows outlive the classical hardness assumptions beneath them.",,AACS Specifications — Introduction and Common Cryptographic Elements (v0.91),https://aacsla.com/wp-content/uploads/2019/02/AACS_Spec_Common_0.91.pdf,aacs,threats/MEDIA-001.html,yes,AACS Licensing Administrator,0.85,2026-08-13,active,,,,envelope-encrypt;kdf-derivation,AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev
Media / Entertainment / DRM,media-broadcast,Broadcast conditional access (DVB),Tv,,RSA,,none,DVB conditional-access entitlement management (ECM/EMM) and broadcast device certificates use RSA/ECDSA with fielded receiver populations that are effectively un-upgradable.,,DVB Project — Conditional Access System Standards,https://dvb.org/solutions/security/,dvb-project,threats/MEDIA-003.html,no,,0.85,2026-08-13,active,,,,kdf-derivation,CI-Plus-Spec-v1.3.2
Media / Entertainment / DRM,media-streaming,Streaming delivery & license TLS,Play,tls-1-3,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"Streaming platforms deliver content keys and licenses over TLS, where hybrid PQC key establishment is already available at CDN scale.",,"""A First Look at Digital Rights Management Systems for Secure Mobile Content Delivery"" (academic survey)",https://arxiv.org/abs/2308.00437,arxiv-crypto,threats/MEDIA-002.html,partial,,0.85,2026-07-29,active,,,,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Payment Card Industry,pci-emv,Card authentication (EMV offline auth),CreditCard,,RSA,,none,"EMV offline card authentication (SDA/DDA/CDA per EMVCo Book 2) uses RSA, with ECDSA arriving in newer contactless kernels; card and terminal fleets turn over on decade timescales.",,The Impact of Quantum Computing on the Payment Card Industry,https://www.fsisac.com/hubfs/Knowledge/PQC/TheImpactOfQuantumComputingOnThePaymentCardIndustry.pdf,fs-isac,threats/PAYM-001.pdf,no,,0.85,2026-08-13,active,,,emv-payment-pqc,cert-capacity,RU-Nijmegen-EMV-Course-Notes;EMVCo-Quantum-Position-Statement
Payment Card Industry,pci-terminals,Terminal PIN security & key injection,ShieldCheck,tls-1-2,RSA;ECDH,,none,PIN encryption uses TDES DUKPT with RSA-based remote key injection under PCI PIN Security Requirements; asymmetric key transport is the quantum-exposed link.,,PCI PIN Security Requirements v2,https://www.pcisecuritystandards.org/documents/PCI_PIN_Security_Requirements_v2.pdf,pci-ssc,threats/PCI-003.html,no,PCI Security Standards Council,0.85,2026-08-13,active,,,emv-payment-pqc,kdf-derivation;hsm-capacity,RFC 9151
Payment Card Industry,pci-ecommerce,E-commerce payment data (PCI DSS),ShoppingCart,tls-1-3;tls-1-2,RSA;ECDSA;ECDH,ML-KEM,pilot,Cardholder-data environments protect transport with TLS under PCI DSS v4 requirements; hybrid key establishment is deployable now on the acquiring side.,,PCI Security Standards Council DSS 4.0.1,https://www.middlebury.edu/sites/default/files/2025-01/PCI-DSS-v4_0_1.pdf,pci-ssc,threats/PCI-002.html,no,PCI Security Standards Council,0.85,2026-07-29,active,,,emv-payment-pqc,tls-simulator;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Rail / Transit,rail-etcs,Train control key management (ETCS),TrainFront,tls-1-2;x509;est-cmp,RSA;ECDSA,,none,ETCS online key management (UNISIG SUBSET-137) distributes KMAC keys via RSA/ECDSA-authenticated channels; signalling assets have 30+-year lifecycles.,,UNISIG SUBSET-137 — On-line Key Management FFFIS (KMC-ETCS),https://www.era.europa.eu/system/files/2023-09/index083_-_SUBSET-137_v400.pdf,era-rail,threats/RAIL-001.pdf,no,UNISIG; European Union Agency for Railways,0.85,2026-07-29,active,,,iot-ot-pqc,pki-enrollment;pki-workshop,RFC 5280;RFC 9881
Rail / Transit,rail-frmcs,Railway mobile communications (GSM-R → FRMCS),Antenna,tls-1-3;ike-ipsec,RSA;ECDSA,ML-KEM,draft,"FRMCS, the 5G successor to GSM-R, authenticates with ECDSA/RSA under ETSI TS 103 719 and 3GPP profiles; migrating rail radio is a multi-decade infrastructure program.",,ETSI TS 103 764 (FRMCS System Architecture) + ETSI TS 103 765-1/-2 (Transport/Service Stratum) / 3GPP TS 22.289 / TS 23.289,https://www.etsi.org/deliver/etsi_ts/103700_103799/103764/01.01.00_30/ts_103764v010100va.pdf,etsi-cyber,threats/RAIL-003.html,no,,0.85,2026-07-30,active,,,iot-ot-pqc,suci-flow;vpn-sim;tls-simulator,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Rail / Transit,rail-ptc,Positive Train Control PKI,TrainFront,x509,RSA;ECDSA,,none,"US Positive Train Control mandated by 49 CFR 236 Subpart I relies on PKI-authenticated wireless messaging between locomotives, wayside units, and back offices.",,49 CFR Part 236 Subpart I — Positive Train Control Systems (eCFR),https://www.ecfr.gov/current/title-49/subtitle-B/chapter-II/part-236/subpart-I,fra-us,threats/RAIL-004.html,yes,FRA,0.85,2026-07-29,active,,,iot-ot-pqc,pki-workshop;cert-capacity,RFC 5280;RFC 9881
Retail / E-Commerce,retail-checkout,Online checkout & POS,ShoppingCart,tls-1-3;tls-1-2,RSA;ECDSA;ECDH;X25519,ML-KEM,production,Checkout and point-of-sale traffic is TLS under PCI DSS; hybrid ML-KEM is production-ready in modern commerce stacks.,,PCI DSS v4.0.1,https://www.middlebury.edu/sites/default/files/2025-01/PCI-DSS-v4_0_1.pdf,pci-ssc,threats/RETAIL-001.html,no,PCI Security Standards Council,0.85,2026-07-29,active,,,emv-payment-pqc,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Supply Chain / Logistics,supply-maritime,Port & vessel identity systems,Ship,x509;tls-1-2,RSA;ECDSA,,none,"Port management PKI, vessel identity certificates, and maritime VPNs fall under IMO cyber-risk management guidance; fleet IT refresh cycles are long.",,IMO Maritime Cyber Risk Management Guidelines,https://www.imo.org/en/OurWork/Security/Pages/Cyber-security.aspx,imo,threats/SUPPLY-001.html,no,,0.85,2026-07-29,active,,,vendor-risk,pki-workshop;tls-simulator,RFC 5280;RFC 9881
Supply Chain / Logistics,supply-ebl,Electronic bills of lading & trade docs,FileText,jose;x509,RSA;ECDSA,,none,DCSA electronic bill-of-lading standards sign trade documents with RSA/ECDSA; negotiable instruments demand signature validity across multi-year disputes.,,DCSA Electronic Bill of Lading Standards,https://dcsa.org/standards/bill-of-lading,csa-cloud,threats/SUPPLY-002.html,no,,0.85,2026-07-29,active,,,vendor-risk,api-security-jwt;pki-workshop,RFC 7515
Supply Chain / Logistics,supply-customs,Customs declarations & single windows,Stamp,x509,RSA;ECDSA,,none,Customs single-window platforms and AEO certificates under the WCO SAFE framework authenticate declarations with classical digital signatures.,,WCO SAFE Framework of Standards,https://www.wcoomd.org/en/topics/facilitation/instrument-and-tools/frameworks-of-standards/safe_package.aspx,wco,threats/SUPPLY-003.html,no,,0.85,2026-07-29,active,,,vendor-risk,pki-workshop;cert-capacity,RFC 5280;RFC 9881
Telecommunications,telco-suci,Subscriber identity concealment (5G SUCI),Smartphone,5g-suci,ECDH;X25519,ML-KEM,draft,5G SUCI conceals subscriber identifiers with ECIES (Curve25519/P-256); 3GPP study items and NIST CSWP 36A chart the ML-KEM-based replacement.,NIST-CSWP-36A;ATIS-5G-Quantum,3GPP TS 33.501 5G Security Architecture,https://www.etsi.org/deliver/etsi_ts/133500_133599/133501/18.09.00_60/ts_133501v180900p.pdf,etsi,threats/TELCO-003.html,partial,3GPP; ETSI,0.85,2026-07-29,active,,,5g-security,suci-flow,3GPP TS 33.501 Rel-19;PQ-SUCI-MLKEM-Profile-C-2025
Telecommunications,telco-transport,Backhaul & core transport (IPsec/TLS),Antenna,ike-ipsec;tls-1-3,RSA;ECDSA;ECDH,ML-KEM,pilot,Inter-site N2/N3 IPsec and SBA TLS carry the mobile core; GSMA's PQ.03 guidelines sequence the telco network migration and IKEv2 PQ extensions are standardized.,GSMA-PQ.03;RFC-9370;ATIS-5G-Quantum,GSMA Post-Quantum Telco Network Taskforce,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-v1.0.pdf,gsma,threats/TELCO-002.pdf,no,GSMA,0.85,2026-07-29,active,,,5g-security,vpn-sim;tls-simulator;sbx-vpn,IETF RFC 7296;draft-ietf-ipsecme-ikev2-pqc-auth-08;RFC 8784;draft-ietf-tls-ecdhe-mlkem-05
Telecommunications,telco-certs,Network function & gNB certificates,KeyRound,x509;est-cmp,RSA;ECDSA,ML-DSA,draft,3GPP TS 33.310 certificate profiles for network functions and base stations use RSA/ECDSA today; ML-DSA profiles track the LAMPS certificate work.,,3GPP TS 33.501 5G Security Architecture,https://www.etsi.org/deliver/etsi_ts/133500_133599/133501/18.09.00_60/ts_133501v180900p.pdf,etsi,threats/TELCO-003.html,partial,3GPP; ETSI,0.85,2026-07-29,active,,,5g-security,pki-enrollment;pki-workshop;sbx-stepca,RFC 5280;RFC 9881
Telecommunications,telco-subscriber,Legacy subscriber authentication,Signal,ike-ipsec,RSA;ECDSA;ECDH,ML-KEM;ML-DSA,none,Legacy generations and roaming interconnects still depend on classical asymmetric authentication and key exchange flagged in GSMA security guidance.,GSMA-PQ.03,GSMA Security Guidelines,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-v1.0.pdf,gsma,threats/TELCO-001.html,no,GSMA,0.85,2026-07-29,active,,,5g-security,vpn-sim;suci-flow,IETF RFC 7296;draft-ietf-ipsecme-ikev2-pqc-auth-08;RFC 8784;draft-wang-ipsecme-kem-auth-ikev2-03
Water / Wastewater,water-scada,Treatment plant SCADA & remote ops,Droplets,ike-ipsec;tls-1-2,RSA;ECDSA;ECDH,,none,Water utility SCADA authentication and remote-monitoring VPNs fall under America's Water Infrastructure Act assessments; OT asset lifecycles stretch decades.,,EPA America's Water Infrastructure Act (AWIA) 2018 / CISA,https://www.epa.gov/waterresilience/awia-section-2013,cisa,threats/WATER-001.html,no,CISA,0.85,2026-07-29,active,,,energy-utilities-pqc,vpn-sim;tls-simulator,IETF RFC 7296;draft-ietf-ipsecme-ikev2-pqc-auth-08;RFC 8784
Water / Wastewater,water-ami,Water metering & sensor networks,Gauge,x509;dtls-1-2,RSA;ECDSA;ECDH,,none,Smart water meters and sensor-to-gateway bootstrap use RSA/ECC provisioning per EPA water-sector cybersecurity guidance.,,EPA Cybersecurity for Water Sector (August 2024),https://www.epa.gov/cyberwater/epa-cybersecurity-water-sector,epa-us,threats/WATER-003.html,no,EPA,0.85,2026-07-29,active,,,energy-utilities-pqc,pki-workshop;cert-capacity;sbx-iot-mqtt,RFC 5280;RFC 9881;draft-ietf-lamps-pq-composite-kem-16
Water / Wastewater,water-dams,Dam & hydropower remote access,Waves,ike-ipsec,RSA;ECDH,,none,FERC's hydropower security program covers certificate-based remote access to dam control systems — classical VPN cryptography guarding kinetic infrastructure.,,FERC Security Program for Hydropower Projects,https://www.ferc.gov/dam-safety-and-inspections/security-program-hydropower-projects,ferc,threats/WATER-005.html,no,FERC,0.85,2026-07-29,active,,,energy-utilities-pqc,vpn-sim;sbx-vpn,IETF RFC 7296;RFC 8784
Insurance,ins-policyholder-data,Policyholder data & HNDL exposure,Database,tls-1-3;tls-1-2,RSA;ECDSA;ECDH,ML-KEM,none,"Insurers hold decades-sensitive policyholder and claims data behind TLS and classically-encrypted stores; Munich Re's 2025 cyber-trends report flags harvest-now-decrypt-later theft and the NIST PQC transition (RSA vulnerable to quantum decryption, protection horizon ~2030) as a sector concern.",,Munich Re — Cyber Insurance: Risks and Trends 2025 (quantum computing security section),https://www.munichre.com/en/insights/cyber/cyber-insurance-risks-and-trends-2025.html,munich-re,industry-landscape/ins-munichre-cyber-trends-2025.html,no,,0.8,2026-07-29,active,,,pqc-risk-management,tls-simulator;envelope-encrypt,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Insurance,ins-cyber-underwriting,Cyber underwriting & quantum accumulation risk,ClipboardCheck,,,,none,Cyber insurers carry accumulation exposure if a cryptographically relevant quantum computer breaks the RSA/ECDSA protecting their insureds en masse; Munich Re's 2025 cyber-trends report treats the PQC transition as an underwriting-relevant risk trend.,,Munich Re — Cyber Insurance: Risks and Trends 2025 (quantum computing security section),https://www.munichre.com/en/insights/cyber/cyber-insurance-risks-and-trends-2025.html,munich-re,industry-landscape/ins-munichre-cyber-trends-2025.html,no,,0.8,2026-07-29,active,,,pqc-risk-management,sbx-cbom-compliance;sbx-migration-impact,
Payment Card Industry,Mastercard-PQC-industry-awareness-payment-ecosystem-quantum,Mastercard PQC industry awareness (payment ecosystem quantum-migration whitepaper),Lock,tls-1-3,RSA;ECDSA,ML-KEM;ML-DSA;SLH-DSA,none,"Mastercard's 2025 R&D white paper (verified 2026-07-31 from the downloaded PDF). Frames HNDL as the central driver and compares PQC against Quantum Key Distribution (QKD) as the two quantum-safe technology categories, favoring PQC for deployability. Cites industry-wide TLS 1.3 PQC adoption data from Cloudflare (nearly 2% of connections by March 2024, reaching double digits by end of 2024) as evidence of momentum -- this is an internet-wide statistic the paper quotes, not a claim about Mastercard's own network. States no QKD trial or pilot of its own. Its concrete recommendation to financial institutions is to invest in cryptographic inventory tooling now, 'regardless of the timeline for PQC migration that it deems to be ideal' -- the paper does not commit to a specific readiness timeline (no 3- or 5-year figure appears in the text).",,Mastercard — Migration to Post-Quantum Cryptography (WhitePaper 2025),https://www.mastercard.com/content/dam/mccom/shared/news-and-trends/stories/2025/quantum-explainer-and-white-paper/Migration-to-post-quantum-cryptography-WhitePaper_2025.pdf,mastercard-incorporated,industry-landscape/Mastercard-PQC-industry-awareness-payment-ecosystem-quantum.pdf,no,,0.85,2026-08-13,active,,,emv-payment-pqc,tls-simulator;sbx-migration-impact;sbx-cbom-compliance,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05;draft-ietf-tls-mldsa-04;FIPS 205
