patent_number,title,inventors,assignee,priority_date,issue_date,filing_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp
11159332,Low friction device enrollment,Moses; Timothy Edward,"Entrust, Inc.",2019-05-28,2021-10-26,2019-05-28,H04L63/18;G06F21/44;H04L63/0823;H04L63/061;G06K19/0723;G06K19/06028;H04L9/0643;H04L9/3239;H04L9/006;G06V30/224;H04W12/35;H04L63/06;H04L9/0861;H04L9/30;H04L9/3263;H04L9/14;G06K19/06037,"A method for enrolling constrained IoT devices by displaying a public key on the device exterior, allowing administrators to document the key without power or network before issuing authentication tokens.","The invention enables low-friction enrollment of constrained devices by affixing a public key to the device's exterior surface or packaging. This allows a system administrator to capture and document the public key without requiring power, network connectivity, or a human-machine interface at the installation site.",classical_only,none,none,none,PKI; X.509,ECC,,none,generation; storage; distribution,IoT; mobile,possession,X.509; PGP; PEM; PKIX; PKCS #7,,,signature; KEM,IoT; PKI,method for enrolling a constrained device into a network,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for enrolling a constrained device into a network""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""public key printed on a label""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""public key printed, engraved, or embossed""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""public key embedded in the device""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""token as certificate, ticket, or cookie""}]",[],2.0,Focuses on device enrollment friction without explicit PQC algorithms or migration signals.,no_citations_recorded,low_pqc_relevance,yes,2026-05-06
20210328815,Secure Communication System And Software Architecture For A Digital License Plate,Batten; Dean,"ReviverMx, Inc.",2021-06-28,2021-10-21,2021-06-28,G06F21/575;G06F21/88;H04L9/006;H04L9/0825;H04L9/30;H04L9/3268;H04L63/0428;H04L63/0442;H04W4/50;H04W12/04;H04W12/35,A secure digital license plate system uses certificate-based provisioning and encrypted storage to verify vehicle identity and prevent unauthorized display modifications via a central server.,"The invention claims a method for provisioning a digital license plate by storing a factory certificate and identifier, receiving a certificate signing request, and issuing a new client certificate for subsequent secure communications. It further claims a system where a central server modifies the plate's operation, such as disabling it or displaying warnings, upon detecting a security mismatch.",classical_only,none,none,none,PKI; REST,AES; 3DES; Diffie-Hellman,,none,generation; distribution; storage; rotation; destruction,IoT,possession,,insider; replay,,signature; symmetric-cipher; KEM,IoT; government,method for provisioning a digital license plate; digital license plate system; method of operating a server for a digital license plate,,PII; vehicle-identification,,US9007193; US20130006775,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for provisioning a digital license plate""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""communicating with server system""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""storing new client certificate in encrypted storage""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""communicating via RESTful interface""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""digital license plate system""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""setting a warning flag""}, {""claim"": 7, ""depends_on"": [5], ""subject"": ""revoking a security certificate""}, {""claim"": 8, ""depends_on"": [5], ""subject"": ""displaying a warning instead of license number""}, {""claim"": 9, ""depends_on"": [5], ""subject"": ""disabling the digital license plate""}, {""claim"": 10, ""depends_on"": [5], ""subject"": ""secure boot chain""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method of operating a server for a digital license plate""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""issuing a provisioning ticket""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""issuing a manufacturing receipt""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""verifying a provisioning ticket""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""provisioning a receipt""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""issuing certificates""}, {""claim"": 17, ""depends_on"": [11], ""subject"": ""revoking certificates""}, {""claim"": 18, ""depends_on"": [11], ""subject"": ""issuance of tokens""}, {""claim"": 19, ""depends_on"": [11], ""subject"": ""displaying images signed by the server""}]",[],,,citations_present:2,score_pending_review,yes,2026-05-06
11153080,Network securing device data using two post-quantum cryptography key encapsulation mechanisms,,Nix; John A.,2021-02-03,2021-10-19,2021-02-03,H04L9/3093;H04L9/0825;H04L9/3263;H04L63/045;H04L63/0823;H04L9/0852;H04L9/0861;H04L9/0838;H04L9/3242;H04L63/061;H04L9/0643;H04L9/3247,"A method for establishing secure network sessions using two distinct post-quantum key encapsulation mechanisms to derive independent shared secrets, enhancing security against quantum attacks and algorithmic compromises.","The invention claims a method where a network and device conduct two separate Key Encapsulation Mechanisms (KEM) using different algorithm types (e.g., lattice-based and code-based). The first KEM establishes an initial shared secret to encrypt the server's public key for the second KEM, and both shared secrets are combined via HKDF to derive the final symmetric ciphering key.",hybrid,hybrid,core_invention,"The invention is centered on Post-Quantum Cryptography (PQC) Key Encapsulation Mechanisms. Independent claims 1 and 9 explicitly require the use of PQC KEM algorithms (specifically mentioning lattice-based and code-based types in dependent claims 2, 3, 10, 11) to establish secure sessions resistant to quantum computing attacks. The primary invention relies entirely on PQC primitives rather than classical ones for the key exchange.",TLS; SSH; IPSec; DTLS,RSA; DH; ECC; ECDH; HMAC; HKDF,lattice-based; code-based; SIKE,quantum_computing,generation; derivation; exchange; storage,server; device; smartphone; laptop; smart camera; sensor; IoT,possession,RFC 5869; TLS 1.2; TLS 1.3; NIST PQC Standardization,quantum-attack; cryptanalysis; key-compromise,,KEM; symmetric-cipher; KDF; MAC; signature,cloud; IoT; telecom,method for a network to conduct secure communications; network for conducting secure communications,bandwidth,session-keys; application data,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for a network to conduct secure communications""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""first KEM lattice-based, second KEM code-based""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""first KEM code-based, second KEM lattice-based""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""server static keys and certificate""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""server ephemeral keys and digital signature""}, {""claim"": 6, ""depends_on"": [4], ""subject"": ""first and second server separation""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""split symmetric ciphering key""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""deriving MAC key and IV""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""network for conducting secure communications""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""first KEM lattice-based, second KEM code-based""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""first KEM code-based, second KEM lattice-based""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""server static keys and certificate""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""server ephemeral keys and digital signature""}, {""claim"": 14, ""depends_on"": [9], ""subject"": ""first and second server separation""}, {""claim"": 15, ""depends_on"": [9], ""subject"": ""split symmetric ciphering key""}, {""claim"": 16, ""depends_on"": [9], ""subject"": ""deriving MAC key and IV""}]",[],9.0,"Explicitly uses two PQC KEMs for network security, directly addressing hybrid migration and HNDL mitigation.",no_citations_recorded,high_pqc_relevance,yes,2026-05-06
20210320796,EFFICIENT ARCHITECTURE AND METHOD FOR ARITHMETIC COMPUTATIONS IN POST-QUANTUM CRYPTOGRAPHY,,"PQSecure Technologies, LLC",2018-08-16,2021-10-14,2018-08-16,H04L9/304;H04L9/3073;H04L9/3093;H04L9/003;G06F7/724;H04L9/0852;G06F7/726,A hardware architecture using a circular-access register file with three registers and a multiplexer to efficiently perform quadratic extension field arithmetic for post-quantum and elliptic curve cryptography.,The invention provides a computer processing system that reduces the processing footprint for cryptosystems utilizing quadratic extension field arithmetic. It employs a circular-access register file with three processor registers and a multiplexer to sequentially shift data for modular addition and multiplication in a finite field of Fp2.,unclear,none,background_only,"The patent title and description mention 'post-quantum cryptography' and 'post-quantum elliptic curve cryptography' as application domains for the arithmetic accelerator. However, the claims define a general hardware architecture for quadratic extension field arithmetic (Fp2) applicable to pairing-based and elliptic curve cryptography. No specific post-quantum algorithms (e.g., lattice-based, code-based) are claimed, nor is quantum technology (QKD, QRNG) involved. The term 'post-quantum' is used in the background to describe the class of cryptosystems that benefit from the reduced footprint, but the invention itself is a classical hardware optimization.",,ECC,,none,,IoT; FPGA; ASIC,,,side-channel,,,IoT,computer processing system for reducing a processing footprint; computer-implemented method for reducing a processing footprint,latency; HW-accel,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""computer processing system for reducing a processing footprint""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""register file is of a circular-access register file block""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""three processor registers consist essentially of work and accumulator registers""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""digit-serial adder unit and modular multiplication unit""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""adder and multiplication units are single units""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""irreducible polynomial of i^2 +1""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""five processor registers configuration""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""computer-implemented method for reducing a processing footprint""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""receiving numerical data through a one-way data flow""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""digit-serial adder and modular multiplication units coupled to registers""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""sequentially shifting through a multiplexer""}, {""claim"": 12, ""depends_on"": [8], ""subject"": ""choosing a quadratic extension field with irreducible polynomial i^2 +1""}]",[],6.0,"Focuses on hardware acceleration for PQC, aiding deployment but lacks explicit protocol migration or standard references",no_citations_recorded,medium_pqc_relevance,yes,2026-05-06
11146407,Digital certificate validation using untrusted data,Rowley; Richard Jeremy,"Digicert, Inc.",2019-04-16,2021-10-12,2019-04-16,H04L63/0823;H04L9/3215;H04L9/3268;H04L9/0825;H04L9/006;H04L63/18,A method for authenticating digital certificate recipients by verifying untrusted validation data via direct communication before or concurrently with confirming it against a third-party trusted database.,"The invention initiates a verification communication link using untrusted certificate validation data immediately upon receiving a certificate request. This verification occurs before or concurrently with obtaining trusted data from a confirmation computing system, reducing issuance latency compared to traditional sequential validation.",unclear,none,none,none,PKI; X.509,,,none,generation,,possession,,,,,PKI; cloud,method for authenticating a target recipient for a digital certificate; non-transitory computer-readable media including computer-executable instructions; method for authenticating a target recipient for a digital certificate,latency,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for authenticating a target recipient for a digital certificate""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""confirmation computing system distinct from target recipient""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""comparing second portion after verifying first portion""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""verified untrusted data corresponds to first portion""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""comparing trusted data after verifying first portion""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""comparing second portion of untrusted data with entity specific data""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""comparing verified untrusted data with entity specific data""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""non-transitory computer-readable media""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""confirmation computing system distinct from target recipient""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""comparing second portion after verifying first portion""}, {""claim"": 11, ""depends_on"": [8], ""subject"": ""initiation of plurality of emails""}, {""claim"": 12, ""depends_on"": [8], ""subject"": ""initiation of automatically initiated telephone call""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""method for authenticating a target recipient including contact information""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""obtaining entity specific data and comparing""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""contact information comprises phone number or email address""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""confirmation computing system distinct from target recipient""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""comparing untrusted or verified data with entity specific data""}, {""claim"": 18, ""depends_on"": [13], ""subject"": ""validating contact information is usable""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""contact information comprises URL of server""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06
11146379,Credential chaining for shared compute environments,Ackley-Smith; Chance et al.,"Amazon Technologies, Inc.",2019-09-30,2021-10-12,2019-09-30,H04L9/0825;H04L63/0823;H04L9/0866;G06F21/335;H04L9/006;H04L63/102;H04L9/3247,A transform execution service chains credentials to allow a shared compute cluster to assume a customer identity and access external resources for executing instructions.,"The invention provides a method for chaining credentials where a service provides a first set of credentials to a cluster, which uses them to obtain a second set to assume a customer identity, and then a third set to access resources. This allows shared compute nodes to securely execute customer instructions without direct long-term credential exposure.",classical_only,none,none,none,PKI,RSA; ECDSA; AES; HMAC; Diffie-Hellman; ElGamal; DSA; ECDH; ECIES; ECMQV; ECQV; Rabin; Boneh-Lynn-Schacham; Schnorr; Pointcheval-Stern; Cramer-Shoup; NTRUEncrypt; McEliece; Pallier; YAK; DES; 3DES; Serpent; Twofish; Blowfish; CAST5; RC4; IDEA; PBKDF2; Bcrypt,,none,generation; distribution; storage; destruction,,possession,,,,signature; symmetric-cipher; MAC; hash; KEM,cloud,computer-implemented method for credential chaining; system for credential chaining; non-transitory computer-readable storage medium for credential chaining,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""computer-implemented method for credential chaining""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""revoking credentials and releasing cluster""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""generating cryptographic key pair for first credentials""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""providing identifier to requestor""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""system for credential chaining""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""revoking permissions""}, {""claim"": 7, ""depends_on"": [5], ""subject"": ""evaluating instructions to select cluster""}, {""claim"": 8, ""depends_on"": [5], ""subject"": ""authenticating digital signature""}, {""claim"": 9, ""depends_on"": [5], ""subject"": ""releasing cluster upon completion""}, {""claim"": 10, ""depends_on"": [5], ""subject"": ""generating key pair for client identity""}, {""claim"": 11, ""depends_on"": [5], ""subject"": ""assigning identity from identity pool""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""providing identifier to client""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""non-transitory storage medium for credential chaining""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""evaluating compute requirements""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""revoking credentials upon completion""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""releasing cluster""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""using key pair and digital signature""}, {""claim"": 18, ""depends_on"": [13], ""subject"": ""third credentials corresponding to role""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""assigning identity from pool""}, {""claim"": 20, ""depends_on"": [13], ""subject"": ""transmitting second credentials to identity management service""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06
11146401,Software authentication before software update,Miller; Jason Michael et al.,"Ford Global Technologies, LLC",2016-08-10,2021-10-12,2016-08-10,H04W12/04;H04L63/08;H04L63/06;H04L63/061;H04L9/006;H04L9/14;H04W12/069;H04L9/3247;H04L67/34;G06F21/57;H04L9/30,A vehicle system authenticates software updates using a public key obtained from an ECU before transmitting the update over the in-vehicle network to prevent installation of unverified code.,"The invention shifts the authentication of software updates from the resource-constrained ECU to an external update device (service tool or TCU). The update device retrieves a public key from the ECU, verifies the digital signature of the software update locally, and only transmits the update upon successful verification.",classical_only,none,none,none,PKI,ECDSA; SHA-1; SHA-2; CRC,,none,distribution; storage,IoT; mobile,possession,,insider; tampering,,signature; hash; MAC,IoT,method for authenticating software update before transmission; vehicle system with TCU for update authentication; apparatus for flashing ECU software,,software,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for authenticating software update before transmission""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""requesting key and validating checksum""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""generating notification""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""authenticating digital signature with public/private key""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""comparing update and current versions""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""outputting message based on comparison""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""requesting key based on version mismatch""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""connection via OBD2""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""receiving update via TCU over wireless""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""update device is TCU""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""vehicle system with TCU for update authentication""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""obtaining key from TCU memory""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""displaying notification""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""authenticating digital signature""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""comparing versions before receiving""}, {""claim"": 16, ""depends_on"": [11], ""subject"": ""rejecting incompatible update""}, {""claim"": 17, ""depends_on"": [11], ""subject"": ""wireless network types""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""apparatus for flashing ECU software""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""communication device for download""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""authenticating digital signature""}, {""claim"": 21, ""depends_on"": [18], ""subject"": ""obtaining key based on version comparison""}]",[],1.0,Title and codes indicate classical authentication without explicit PQC or migration signals.,no_citations_recorded,low_pqc_relevance,yes,2026-05-06
20210314301,Private service edge nodes in a cloud-based system for private application access,Chanak; John A. et al.,"Zscaler, Inc.",2021-06-21,2021-10-07,2021-06-21,H04L9/0894;H04L63/0876;H04L9/3263;H04L63/0272;H04L63/029;H04L9/006;H04L9/14;H04L67/1021;H04L9/30;G06F9/547;H04L67/1097;H04L63/0823,"Systems and methods for private service edge nodes in a cloud-based system enabling secure, policy-driven access to private applications via connectors and secure tunnels without exposing applications to the internet.","The invention introduces private service edge nodes located within an enterprise network that act as part of a cloud-based system to facilitate Zero Trust Network Access. These nodes connect user devices to applications via a connector using secure tunnels, enforcing policies without exposing the application to the public internet.",unclear,none,none,none,TLS; IPsec; GRE; L2TP,,,none,,mobile; IoT,knowledge; possession,,MITM; insider,,,cloud; telecom,method implemented at a user device; method implemented at a private service edge node; non-transitory computer-readable medium,latency; bandwidth,,,US10616180; US10375024,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method implemented at a user device""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""second service edge node is a private service edge node""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""user device is on-premises""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""user device is remote with secure tunnels""}, {""claim"": 5, ""depends_on"": [2], ""subject"": ""publish and listen addresses""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""connecting via secure tunnels""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""tunnels between service edge nodes, user device, and connector""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""service edge nodes include public and private""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""connector and service edge node dial out""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""addresses based on utilization""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method implemented at a private service edge node""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""private service edge node in enterprise network""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""user device on-premises""}, {""claim"": 14, ""depends_on"": [12], ""subject"": ""user device remote with secure tunnels""}, {""claim"": 15, ""depends_on"": [11], ""subject"": ""publish and listen addresses""}, {""claim"": 16, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""user device remote with secure tunnels""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""publish and listen addresses""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""connecting via secure tunnels""}, {""claim"": 20, ""depends_on"": [1], ""subject"": ""connector and private service edge node dial out""}]",[],1.0,Title and codes indicate general cloud security without explicit PQC algorithms or migration signals.,citations_present:2,low_pqc_relevance,yes,2026-05-06
20210314171,SYSTEM AND METHOD FOR ESTABLISHING DYNAMIC TRUST CREDENTIALS FOR NETWORK FUNCTIONS,Choyi; Vinod Kumar et al.,Verizon Patent and Licensing Inc.,2020-04-07,2021-10-07,2020-04-07,H04L9/3247;G06F21/44;G06F9/455;H04L9/3236;H04L63/0807;H04L63/0823;H04L9/0643;H04L9/3268;H04L9/006,A system establishes dynamic trust credentials for network functions by using a management function to generate a signed certificate request token that guides a PKI system in issuing tailored digital certificates.,"The invention introduces a Certificate Request Token (CRT) generated by a management function and digitally signed, which is passed to a network function to be submitted alongside a Certificate Signing Request to a trust anchor platform. This mechanism allows the trust anchor to validate the network function's identity and enforce specific certificate attributes defined in the CRT, preventing impersonation and misconfiguration.",classical_only,none,none,none,TLS; PKI; X.509,ECDSA; SHA-256,,none,generation; distribution,,possession,X.509,impersonation; insider; misconfiguration,,signature; hash; KEM,telecom; cloud; PKI,method for establishing dynamic trust credentials; system for establishing dynamic trust credentials; non-transitory computer-readable medium for establishing dynamic trust credentials,,session-keys; root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for establishing dynamic trust credentials""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""management function obtaining and verifying software package""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""binding CRT to CSR""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""CRT including custom information""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""custom information details""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""storing hash value in database""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""CRT including Certificate Attribute List""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""validating CRT and generating certificate""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""trust anchor platform includes PKI""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""system for establishing dynamic trust credentials""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""management function device""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""binding CRT to CSR""}, {""claim"": 13, ""depends_on"": [10], ""subject"": ""CRT including custom information""}, {""claim"": 14, ""depends_on"": [10], ""subject"": ""custom information details""}, {""claim"": 15, ""depends_on"": [10], ""subject"": ""storing and retrieving hash value""}, {""claim"": 16, ""depends_on"": [10], ""subject"": ""CRT including Certificate Attribute List""}, {""claim"": 17, ""depends_on"": [10], ""subject"": ""trust anchor platform device""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""binding CRT to CSR""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""custom information details""}]",[],2.0,Title and CPC codes suggest general network security without explicit PQC algorithm or migration references.,no_citations_recorded,low_pqc_relevance,yes,2026-05-06
11140160,Method and system for establishing inter-device communication,Liu; Dunjun et al.,"BANMA ZHIXING NETWORK (HONGKONG) CO., LIMITED",2018-07-31,2021-10-05,2018-07-31,H04L63/0876;H04L9/0866;G06F21/72;H04L9/006;H04L9/0897;H04L63/0442;H04W12/50;G06F21/53;H04L63/045;H04L63/0428;H04L63/061;H04L9/0825,A method for establishing secure inter-device communication by decrypting an encrypted session key within a trusted environment using a pre-written private key to protect against OS vulnerabilities.,"The invention isolates the decryption of session keys within a trusted environment, such as a trusted chip or virtualized secure enclave, using a private key pre-written into that environment. This prevents session key exposure to the normal operating system, mitigating risks from OS loopholes.",classical_only,none,none,none,PKI,,,none,generation; distribution; storage; exchange,mobile; IoT,possession,,insider; side-channel,,KEM; symmetric-cipher,banking; telecom; cloud,method for first device; method for second device; method for identification service device; first device apparatus; second device apparatus; identification service device apparatus; computer program product for first device; computer program product for second device; computer program product for identification service device,,session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for first device""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""sending identifying information""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""storage and pre-generation details""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""device roles""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""sending public key directly""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""client-to-client roles""}, {""claim"": 7, ""depends_on"": [], ""subject"": ""method for second device""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""acquiring public key via ID""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""failure response""}, {""claim"": 10, ""depends_on"": [8], ""subject"": ""device roles""}, {""claim"": 11, ""depends_on"": [7], ""subject"": ""acquiring public key directly""}, {""claim"": 12, ""depends_on"": [7], ""subject"": ""random session key assignment""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""method for identification service device""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""maintaining keys and IDs""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""pre-writing private key""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""failure response""}, {""claim"": 17, ""depends_on"": [13], ""subject"": ""legitimacy determination""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""first device apparatus""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""sending identifying information""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""secure storage zone details""}, {""claim"": 21, ""depends_on"": [19], ""subject"": ""device roles""}, {""claim"": 22, ""depends_on"": [18], ""subject"": ""sending public key directly""}, {""claim"": 23, ""depends_on"": [22], ""subject"": ""client-to-client roles""}, {""claim"": 24, ""depends_on"": [], ""subject"": ""second device apparatus""}, {""claim"": 25, ""depends_on"": [24], ""subject"": ""acquiring public key via ID""}, {""claim"": 26, ""depends_on"": [25], ""subject"": ""failure response""}, {""claim"": 27, ""depends_on"": [25], ""subject"": ""device roles""}, {""claim"": 28, ""depends_on"": [24], ""subject"": ""acquiring public key directly""}, {""claim"": 29, ""depends_on"": [24], ""subject"": ""random session key assignment""}, {""claim"": 30, ""depends_on"": [], ""subject"": ""identification service device apparatus""}, {""claim"": 31, ""depends_on"": [30], ""subject"": ""maintaining keys and IDs""}, {""claim"": 32, ""depends_on"": [30], ""subject"": ""failure response""}, {""claim"": 33, ""depends_on"": [30], ""subject"": ""legitimacy determination""}, {""claim"": 34, ""depends_on"": [], ""subject"": ""computer program product for first device""}, {""claim"": 35, ""depends_on"": [], ""subject"": ""computer program product for second device""}, {""claim"": 36, ""depends_on"": [], ""subject"": ""computer program product for identification service device""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06
