category_id,category_name,pqc_priority,total_software_products,pqc_ready_products,readiness_percentage,related_threats,timeline_pressure,urgency_score,recommended_action_timeline,industries_affected,recommended_action_timeline_original,timeline_status,date_stamp,last_reviewed_date,last_reviewed_by
CSC-045,Cloud Key Management Service (KMS),Critical,7,3,42.9,22,20,71.0,2026-Q3,All industries,2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-046,Cloud Hardware Security Module (HSM),Critical,8,3,37.5,24,22,74.2,2026-Q3,"Finance, Government, Healthcare, Defense",2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-047,Quantum Random Number Generator (QRNG),High,5,1,20.0,10,12,58.2,2026-Q3,"Finance, Government, Defense",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-048,Network Encryptors,Critical,14,10,71.4,16,18,65.3,2026-Q3,"Telecom, Government, Finance, Critical Infrastructure",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-052,Confidential Computing,High,3,0,0.0,15,20,76.2,2026-Q3,"Cloud, Finance, Healthcare, Government, Defense",2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-050,5G & Telecom Security,Critical,20,5,25.0,10,15,65.9,2026-Q3,"Telecom, Government, Defense",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-051,Digital Identity & Verifiable Credentials,High,10,2,20.0,10,15,66.9,2026-Q3,"Government, Identity, Finance, Healthcare",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-053,Secrets Management,High,13,3,23.1,10,15,65.0,2026-Q3,Enterprise,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-054,Smart Cards & Secure Elements,High,8,3,37.5,10,15,65.0,2026-Q3,"Government, Identity, Healthcare, Finance",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-055,Container Orchestration & Service Mesh,Critical,9,7,77.8,10,15,68.8,2026-Q3,"Technology, Finance, Cloud, Healthcare, Government",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-056,Real-Time Operating Systems,Critical,4,0,0.0,10,15,68.8,2026-Q3,"Aerospace, Defense, Industrial, Automotive, Medical",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-059,Industrial Control System & OT Security,High,6,2,33.3,10,15,68.8,2026-Q3,"Energy, Utilities, Manufacturing, Government, Critical Infrastructure",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-060,AI/ML Security Platforms,Medium,7,0,0.0,10,15,68.8,2026-Q3,"Technology, Finance, Healthcare, Government, Enterprise",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-061,Network Testing & Validation Tools,High,11,7,63.6,10,15,60.4,2026-Q3,"Enterprise, Government, Telecommunications, Defense, Financial Services",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-013,PKI & Certificate Lifecycle,Critical,5,1,20.0,14,16,65.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-019,Operating Systems & Platforms,High,1,0,0.0,10,14,62.0,2026-Q4,All industries,2026-Q4,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-039,IoT Security,High,6,4,66.7,12,16,66.0,2026-Q4,"Industrial, Healthcare, Automotive, Energy, Consumer Electronics",2026-Q4,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-082,Network Security Appliances,High,8,4,50.0,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-117,SASE & Zero Trust,High,3,1,33.3,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-120,Web Servers & Reverse Proxies,High,4,4,100.0,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-125,Enterprise Server Platforms,High,2,2,100.0,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-144,CDN & Edge Security,High,3,3,100.0,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-146,DNS Security,High,3,1,33.3,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-162,Secure File Transfer,High,2,1,50.0,,,,,,,,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-012,Trusted Platform Module Software,Needs Review,4,2,50.0,,,,Needs Review,Needs Review,,needs_review,2026-07-07,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-021,Supply Chain & DevSecOps,Needs Review,14,1,7.1,,,,Needs Review,Needs Review,,needs_review,2026-07-07,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-022,PQC Programs & Research Initiatives,Needs Review,9,4,44.4,,,,Needs Review,Needs Review,,needs_review,2026-07-07,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
