category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason
vehicle-telemetry,Vehicle telemetry,"Engine diagnostics, performance metrics, OBD data",Automotive,5,,7,,2030-12-31,"ISO/SAE 21434, WP.29 R155. Vehicle telemetry streams use long-lived TLS sessions requiring PQC.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
flight-control,Flight control software / avionics,"Safety-critical algorithms, weapons systems",Aerospace,25,,10,,2030-12-31,"DO-178C, DO-326A, FAA AC 119-1. Safety-critical software for ACAS/TCAS, FMS must plan for PQC replacement.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
passenger-pii,Passenger manifests / crew PII,"Travel records, passport data, security clearances",Aerospace,15,,7,,2030-12-31,"GDPR, PNR Directive, ICAO. Passenger manifests retained up to 5 years in some jurisdictions.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
maintenance-logs,Maintenance logs,"Service records, parts inventory, compliance documentation",Aerospace,5,,6,,2032-12-31,"FAA maintenance records (14 CFR §43.9), MIL-HDBK-1823. Long-lived aviation and defense maintenance records.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
pci-data,Payment card data (PCI scope),"Card numbers, CVVs, transaction auth data",Retail & E-Commerce;Finance & Banking,15,,8,,2028-12-31,PCI DSS v4 Req 3.5. Card data storage limited but key wrapping must be PQC-safe.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
customer-purchase,Customer purchase history / PII,"Order history, addresses, preferences",Retail & E-Commerce,5,,6,,2032-12-31,"GDPR, CCPA, state privacy laws. E-commerce purchase history retained for fraud analysis and compliance.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
product-catalog,Product catalog,"Public listings, pricing, inventory counts",Retail & E-Commerce,0,,2,,,Generally public data — low PQC migration priority.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
student-records,Student records (FERPA),"Grades, disciplinary records, financial aid",Education,15,,6,,2032-12-31,,United States;European Union,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
research-ip,Research data / IP,"Unpublished research, grant proposals, patent-pending work",Education,15,,8,,2028-12-31,Patent-pending and unpublished research faces extreme nation-state HNDL risk. Encrypt all research data stores with AES-256 + PQC key wrapping.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
course-catalog,Course catalogs / schedules,"Public curriculum, class listings, academic calendar",Education,0,,2,,,Generally public data — low PQC migration priority.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
use_case,TLS,TLS/HTTPS,Securing web and API traffic with TLS,Telecommunications;Technology;Finance & Banking;Retail & E-Commerce;Education;Healthcare,6,10,,,,,,,active,,restored from archive 2026-02-28
use_case,DATA-REST,Data-at-rest encryption,Encrypting stored data and files,Healthcare;Finance & Banking;Government & Defense;Education;Energy & Utilities,9,7,,,,,,,active,,restored from archive 2026-02-28
use_case,SIGNING,Digital signatures / code signing,Signing software and documents cryptographically,Government & Defense;Technology;Aerospace;Finance & Banking,3,8,,,,,,,active,,restored from archive 2026-02-28
use_case,KEY-EXCHANGE,Key exchange / agreement,Establishing shared secret keys between parties,Government & Defense;Finance & Banking;Telecommunications,8,9,,,,,,,active,,restored from archive 2026-02-28
use_case,AUTH,Authentication / identity,User and machine identity verification,Government & Defense;Technology;Finance & Banking;Education;Healthcare;Retail & E-Commerce,4,7,,,,,,,active,,restored from archive 2026-02-28
use_case,BLOCKCHAIN,Blockchain / cryptocurrency,Distributed ledger and digital asset cryptography,Finance & Banking;Technology,5,6,,,,,,,active,,restored from archive 2026-02-28
use_case,EMAIL-ENC,"Email encryption (S/MIME, PGP)",Encrypting and signing email communications,Government & Defense;Finance & Banking;Healthcare,7,5,,,,,,,active,,restored from archive 2026-02-28
use_case,VPN,VPN / IPSec,Encrypted network tunnels and site-to-site VPNs,Government & Defense;Technology;Energy & Utilities;Telecommunications,7,8,,,,,,,active,,restored from archive 2026-02-28
use_case,IOT,IoT device communication,Cryptographic communication for connected devices,Automotive;Energy & Utilities;Telecommunications,5,6,,,,,,,active,,restored from archive 2026-02-28
use_case,DB-ENC,Database encryption,Encrypting database contents and backups,Healthcare;Finance & Banking;Retail & E-Commerce;Education,8,7,,,,,,,active,,restored from archive 2026-02-28
use_case,SIM-ESIM,SIM/eSIM provisioning,Cryptographic provisioning of cellular subscriber identities,Telecommunications,8,9,,,,,,,active,,restored from archive 2026-02-28
use_case,5G-SLICING,5G network slicing security,PQC for network slice authentication and isolation in 5G,Telecommunications,7,8,,,,,,,active,,restored from archive 2026-02-28
use_case,SS7,SS7/Diameter protocol security,Signaling protocol integrity for telecom core networks,Telecommunications,6,8,,,,,,,active,,restored from archive 2026-02-28
use_case,SWIFT-MSG,SWIFT messaging integrity,Cryptographic signing and verification of SWIFT interbank messages,Finance & Banking,9,9,,,,,,,active,,restored from archive 2026-02-28
use_case,TRADING,Trading system code signing,Digital signatures for high-frequency trading software,Finance & Banking,5,8,,,,,,,active,,restored from archive 2026-02-28
use_case,CARD-ENC,Card payment encryption,POS terminal and card-not-present transaction encryption,Finance & Banking;Retail & E-Commerce,6,7,,,,,,,active,,restored from archive 2026-02-28
use_case,MEDICAL-DEVICE,Medical device communication,Encrypted telemetry for connected medical devices,Healthcare,8,9,,,,,,,active,,restored from archive 2026-02-28
use_case,EHR,EHR/FHIR data exchange,Secure exchange of electronic health records via HL7/FHIR,Healthcare,9,8,,,,,,,active,,restored from archive 2026-02-28
use_case,V2X,V2X communication,Vehicle-to-everything communication security (DSRC/C-V2X),Automotive,7,9,,,,,,,active,,restored from archive 2026-02-28
use_case,OTA,OTA firmware updates,Signed over-the-air vehicle and device software updates,Automotive;Energy & Utilities,5,9,,,,,,,active,,restored from archive 2026-02-28
use_case,ECU-BOOT,ECU secure boot,Root-of-trust for automotive electronic control units,Automotive,4,8,,,,,,,active,,restored from archive 2026-02-28
use_case,SCADA,SCADA/OT system security,Cryptographic controls for industrial control systems,Energy & Utilities;Aerospace,8,9,,,,,,,active,,restored from archive 2026-02-28
use_case,SMART-METER,Smart meter communication,Encrypted AMI/AMR infrastructure for utility metering,Energy & Utilities,7,7,,,,,,,active,,restored from archive 2026-02-28
use_case,AVIONICS,Avionics communication,Encrypted and authenticated flight-critical avionics comms,Aerospace,8,10,,,,,,,active,,restored from archive 2026-02-28
use_case,SATELLITE,Satellite link encryption,Long-lived key protection for satellite command and telemetry,Aerospace,10,9,,,,,,,active,,restored from archive 2026-02-28
use_case,PKI-HSPD12,PKI / HSPD-12,Federal identity credentialing and PIV card cryptography,Government & Defense,6,9,,,,,,,active,,restored from archive 2026-02-28
use_case,CLASSIFIED,Classified data exchange,Cryptographic protection of classified communications,Government & Defense,10,10,,,,,,,active,,restored from archive 2026-02-28
use_case,DNS-DNSSEC,DNS/DNSSEC,DNS resolution integrity and DNSSEC zone signing,Technology;Telecommunications,3,8,,,,,,,active,,restored from archive 2026-02-28
use_case,TIMESTAMPING,Timestamping services,Long-lived cryptographic timestamps for legal and financial evidence,Finance & Banking;Government & Defense,9,7,,,,,,,active,,restored from archive 2026-02-28
use_case,BACKUP-ENC,Backup/archive encryption,Encryption of backup tapes and cloud archives and disaster recovery stores,Healthcare;Finance & Banking;Government & Defense,9,6,,,,,,,active,,restored from archive 2026-02-28
use_case,API-GATEWAY,API gateway / microservices,mTLS and JWT signing for service-to-service communication,Technology;Finance & Banking,5,8,,,,,,,active,,restored from archive 2026-02-28
use_case,SECURE-BOOT,Secure boot (non-automotive),Root-of-trust and firmware verification for servers and devices,Technology;Government & Defense,4,8,,,,,,,active,,restored from archive 2026-02-28
retention,under-1y,Less than 1 year,Data that needs to stay confidential for under a year,,,,1,,,,,,active,,restored from archive 2026-02-28
retention,1-5y,1-5 years,Data with a short to medium confidentiality window,,,,5,,,,,,active,,restored from archive 2026-02-28
retention,5-10y,5-10 years,Data requiring a medium to long-term confidentiality window,,,,10,,,,,,active,,restored from archive 2026-02-28
retention,10-25y,10-25 years,Data requiring long-term confidentiality protection,,,,25,,,,,,active,,restored from archive 2026-02-28
retention,25-plus,25+ years,Data with very long or archival confidentiality requirements,,,,30,,,,,,active,,restored from archive 2026-02-28
retention,indefinite,Indefinite,Data with no defined expiration of confidentiality,,,,50,,,,,,active,,restored from archive 2026-02-28
retention,auto-1-3y,1-3 years (telematics),Vehicle telemetry and OBD diagnostic records,Automotive,,,3,,,,,,active,,restored from archive 2026-02-28
retention,auto-vehicle-lifetime,10-15 years (vehicle lifetime),"ECU firmware, V2X certificates and vehicle safety-critical software",Automotive,,,15,,,,,,active,,restored from archive 2026-02-28
retention,2y,2 years (CDR / telecom),Call detail records typical retention for mobile operators,Telecommunications,,,2,,,,,,active,,restored from archive 2026-02-28
retention,6y,6 years (HIPAA minimum),Minimum retention under HIPAA for protected health information,Healthcare,,,6,,,,,,active,,restored from archive 2026-02-28
retention,7y,7 years (financial records),Standard regulatory records retention for financial institutions,Finance & Banking,,,7,,,,,,active,,restored from archive 2026-02-28
retention,75y-plus,75+ years (government archival),Long-lived government and national security archival records,Government & Defense,,,75,,,,,,active,,restored from archive 2026-02-28
retention,3y-soc2,3 years (SOC 2 / audit logs),Security audit logs and access records under SOC 2 Trust Service Criteria,Technology,,,3,,,,,,active,,restored from archive 2026-02-28
retention,3y-nerc,3 years (NERC CIP-007),Security event logs and cyber compliance records under NERC CIP-007-6 R5,Energy & Utilities,,,3,,,,,,active,,restored from archive 2026-02-28
retention,7y-ferc,7 years (FERC / billing),Operational and billing records under FERC and IRS retention requirements,Energy & Utilities,,,7,,,,,,active,,restored from archive 2026-02-28
retention,aircraft-lifetime,Aircraft lifetime (20-40 years),"DO-178C software lifecycle data and FAA airworthiness records per 14 CFR §91.417, maintained for the service life of the aircraft",Aerospace,,,40,,,,,,active,,restored from archive 2026-02-28
retention,1y-pci-logs,1 year (PCI DSS audit logs),Payment transaction audit logs with 90 days immediately accessible per PCI DSS v4 Req. 10.7,Retail & E-Commerce,,,1,,,,,,active,,restored from archive 2026-02-28
retention,2y-pci,2 years (PCI DSS cardholder data),Maximum cardholder data storage period under PCI DSS requirements,Retail & E-Commerce,,,2,,,,,,active,,restored from archive 2026-02-28
retention,6y-ferpa,6 years (FERPA / financial aid),Student financial aid records under FERPA and 34 CFR §668.24,Education,,,6,,,,,,active,,restored from archive 2026-02-28
retention,permanent-transcripts,Permanent (academic transcripts),Academic transcripts and degrees maintained indefinitely per institutional policy and most state laws,Education,,,100,,,,,,active,,restored from archive 2026-02-28
retention,permanent,Permanent (state secrets),Records with no defined expiration date,Government & Defense,,,100,,,,,,active,,restored from archive 2026-02-28
sensitivity,phi,Protected Health Information (PHI),"Patient records, diagnoses, prescriptions, lab results",Healthcare,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,genomic-data,Genomic / clinical trial data,"DNA sequencing, biobank records, longitudinal research",Healthcare,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,admin-health,Administrative health records,"Scheduling, billing codes, facility operations",Healthcare,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,customer-financial,Customer financial records,"Account balances, transactions, credit scores, PII",Finance & Banking,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,trading-algos,Trading algorithms / proprietary models,"HFT strategies, risk models, pricing engines",Finance & Banking,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,transaction-logs,Transaction logs,"Audit trails, reconciliation records, batch processing data",Finance & Banking,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,classified-info,Classified information (TS/SCI),"National security data, intelligence products",Government & Defense,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,cui,Controlled Unclassified Information (CUI),"Export-controlled data, law enforcement sensitive",Government & Defense,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,fouo,Internal government data (FOUO),"Pre-decisional documents, internal correspondence",Government & Defense,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,network-topology,Network topology / configurations,"Core network architecture, routing tables, SS7 configs",Telecommunications,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,cdr,Call detail records (CDR),"Subscriber communications metadata, location data",Telecommunications,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,subscriber-meta,Subscriber metadata,"Account info, service plans, billing data",Telecommunications,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,crypto-keys,Cryptographic keys / secrets,"Private keys, API secrets, HSM contents",Technology,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,source-code,Source code / intellectual property,"Proprietary algorithms, trade secrets",Technology,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,user-analytics,User analytics / telemetry,"Usage patterns, A/B test data, anonymized metrics",Technology,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,scada-ot,SCADA/OT operational data,"Industrial control commands, safety system configs",Energy & Utilities,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,grid-topology,Grid topology / infrastructure maps,"Distribution network, substation configurations",Energy & Utilities,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,meter-readings,Meter readings / consumption data,"AMI data, billing usage, demand forecasts",Energy & Utilities,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,ad-algorithms,Autonomous driving algorithms,"ML models, sensor fusion logic, safety-critical code",Automotive,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,v2x-data,V2X communication data,"Vehicle-to-infrastructure messages, location data",Automotive,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,vehicle-telemetry,Vehicle telemetry,"Engine diagnostics, performance metrics, OBD data",Automotive,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,flight-control,Flight control software / avionics,"Safety-critical algorithms, weapons systems",Aerospace,25,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,passenger-pii,Passenger manifests / crew PII,"Travel records, passport data, security clearances",Aerospace,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,maintenance-logs,Maintenance logs,"Service records, parts inventory, compliance documentation",Aerospace,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,pci-data,Payment card data (PCI scope),"Card numbers, CVVs, transaction auth data",Retail & E-Commerce;Finance & Banking,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,customer-purchase,Customer purchase history / PII,"Order history, addresses, preferences",Retail & E-Commerce,5,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,product-catalog,Product catalog,"Public listings, pricing, inventory counts",Retail & E-Commerce,0,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,student-records,Student records (FERPA),"Grades, disciplinary records, financial aid",Education,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,research-ip,Research data / IP,"Unpublished research, grant proposals, patent-pending work",Education,15,,,,,,,,active,,restored from archive 2026-02-28
sensitivity,course-catalog,Course catalogs / schedules,"Public curriculum, class listings, academic calendar",Education,0,,,,,,,,active,,restored from archive 2026-02-28
