id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards
KISA-BODY,KISA / NIS,Korea Internet & Security Agency and National Intelligence Service — South Korea's cybersecurity and cryptography standardization authorities,92;54;51,KR,yes,Ongoing,KISA (under MSIT) leads Korean internet security and runs the KpqC competition for domestic PQC algorithms. NIS oversees KCMVP (Korean Cryptographic Module Validation Program). Together they define cryptographic requirements for government systems and are driving Korea's PQC transition roadmap targeting 2035.,KISA/NIS,FIPS 203;FIPS 204;FIPS 205,South Korea:NIS/KISA,standardization_body,https://www.kisa.or.kr/EN,kisa,yes,KISA/NIS,url_needs_review,85,,92;54;51,active,,,
OSCCA-BODY,OSCCA / SCA,Office of State Commercial Cryptography Administration (国家密码管理局) — China's regulatory authority for commercial cryptography,92;52;54,CN,yes,Ongoing,OSCCA (now operating as SCA — State Cryptography Administration) regulates all commercial cryptography in China. Administers the SM-series algorithms (SM2/SM3/SM4) as national standards. Launched the NGCC (Next-Generation Commercial Cryptographic) call for proposals in Feb 2025 to develop China-indigenous PQC algorithms alongside NIST-aligned ones.,SCA/OSCCA,FIPS 203;FIPS 204;FIPS 205,China:ICCS,standardization_body,https://www.sca.gov.cn,iccs-china,yes,SCA/OSCCA,url_needs_review,85,,92;52;54,active,,,
ETSI,ETSI,European Telecommunications Standards Institute — global standards body for telecoms PQC including quantum-safe algorithm suites for 5G/6G,51;54;92,PQC-REGION-GLOBAL,yes,Ongoing,"ETSI's Quantum Safe Cryptography (QSC) working group (TC CYBER WG QSC) publishes technical reports and specifications for PQC in telecoms. Key outputs: ETSI TS 103 744 (QSC for telecoms), ETSI TR 103 619 (migration guidance), ETSI GR QSC 001 (quantum threats survey). Works in liaison with NIST, ISO/IEC and 3GPP SA3.",ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,standardization_body,https://www.etsi.org/technologies/quantum-safe-cryptography,etsi-cyber,yes,ETSI,url_authoritative,85,,51;54;92,active,,,
BSI,BSI,German Federal Office for Information Security — Europe's most detailed national PQC technical guidance authority,92;54,DE,yes,Ongoing,BSI (Bundesamt für Sicherheit in der Informationstechnik) publishes the TR-02102 series — the most technically detailed national PQC cryptographic guidelines globally. Coordinates with ANSSI and ENISA on European PQC harmonization. BSI issues PQC product certifications under the national CC scheme and the EUCC scheme.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,standardization_body,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html,bsi,yes,BSI,url_authoritative,85,,92;54,active,,,
NSA,NSA,US National Security Agency — mandates PQC for all national security systems via CNSA 2.0 with the most aggressive government timeline,92,US,yes,Ongoing,"NSA's CNSA 2.0 (Commercial National Security Algorithm Suite 2.0) mandates ML-KEM, ML-DSA, SLH-DSA, and LMS/XMSS for all US national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud 2025/2033; networking 2026/2030; OS 2027/2033; legacy 2030-2033. NSA also issues CSfC (Commercial Solutions for Classified) addenda incorporating PQC guidance.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum,United States:NSA,standardization_body,https://www.nsa.gov/Cybersecurity/CNSA-2-0/,nsa-advisory,yes,NSA,url_authoritative,85,,92,active,,,CNSA-2.0
CMMC,CMMC,Cybersecurity Maturity Model Certification — US DoD supply chain cybersecurity certification requirement,92;54,US,no,No explicit PQC timeline yet,CMMC 2.0 (effective since Dec 2024) requires cybersecurity practices for DoD contractors. Cryptographic controls align with NIST SP 800-171 and FIPS 140-3. PQC requirements expected as NIST SP 800-171 is updated to align with NIST IR 8547 transition guidance.,DoD/OUSD(A&S),NIST IR 8547,,compliance_framework,https://dodcio.defense.gov/CMMC/,dod-cio,yes,DoD/OUSD(A&S),url_authoritative,85,,92;54,active,,,
FISMA,FISMA,Federal Information Security Modernization Act — mandates information security programs for all US federal agencies,92,US,yes,2030 (aligned with NIST IR 8547),"FISMA requires federal agencies to follow NIST security standards including cryptographic controls. As NIST SP 800-53 and NIST IR 8547 transition guidance are updated, FISMA compliance will require PQC migration by 2030. OMB Memorandum M-23-02 already references quantum risk. FedRAMP (cloud) and DISA STIGs (DoD) both derive from FISMA.",OMB/CISA,NIST IR 8547;CISA-PQC-CATEGORY-LIST-2026,United States:NIST,compliance_framework,https://www.cisa.gov/topics/cyber-threats-and-advisories/federal-information-security-modernization-act,cisa,yes,OMB/CISA,url_authoritative,85,,92,active,,,
EU-CRA,EU Cyber Resilience Act,EU regulation establishing cybersecurity requirements for connected products throughout their lifecycle,54;22;48;51;62,PQC-REGION-EU,expected,2027 (enforcement begins),"CRA (Regulation 2024/2847) text mandates 'state of the art' encryption; does not name PQC explicitly. PQC enters via ETSI/ENISA harmonized standards under CRA, expected to specify PQC once finalized (est. 2026-2027). CRA entered force 10 Dec 2024; reporting obligations apply 11 Sep 2026; full obligations apply 11 Dec 2027.",European Commission/ENISA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/cyber-resilience-act,enisa,yes,European Commission/ENISA,url_needs_review,85,,54;22;48;51;62,active,,,
INDIA-DST-PQC,India DST/NQM PQC Roadmap,India National Quantum Mission post-quantum cryptography migration roadmap for all sectors,92;52;51;22;54,IN,yes,2027 (CII foundations); 2033 (full nationwide),India DST/NQM published comprehensive national PQC roadmap (Feb 2026) with mandatory CBOM submissions starting FY 2027-28. Critical Information Infrastructure migration by 2029. Full nationwide PQC adoption by 2033. Hybrid PQC plus QKD recommended for high-assurance applications.,DST/NQM,FIPS 203;FIPS 204;FIPS 205,India:DST/NQM,compliance_framework,https://dst.gov.in/,cisa,yes,DST/NQM,url_needs_review,85,,92;52;51;22;54,active,,,
HKMA-PQC,HKMA Fintech 2030 Quantum Preparedness,Hong Kong Monetary Authority quantum preparedness framework for financial institutions,52,HK,yes,2027 (readiness assessment); 2030 (full migration),"HKMA Fintech 2030 Quantum Preparedness Index requires all regulated banks to complete formal quantum preparedness assessment by 2027 covering cryptographic inventory, CBOM, and migration roadmap. Full PQC migration target by 2030 aligned with BIS and MAS timelines. Critical Infrastructure Cybersecurity Ordinance effective Jan 2026 covers 8 sectors.",HKMA,BIS-Paper-158,Hong Kong:HKMA,compliance_framework,https://www.hkma.gov.hk/,hkma,yes,HKMA,url_needs_review,85,,52,active,,,
UAE-CSC-PQC,UAE National Encryption Policy,UAE Cybersecurity Council national encryption policy mandating PQC transition,92;52;54,AE,yes,2026 (migration roadmaps); 2030 (full migration),UAE Cybersecurity Council approved National Encryption Policy (Nov 2025) mandating all government entities develop PQC transition plans. Migration roadmaps due 2026. QuantumGate program drives large-scale PQC implementation 2026-2030. DESC launched PQC Guideline at GISEC Global 2025.,UAE CSC/DESC,FIPS 203;FIPS 204;FIPS 205,United Arab Emirates:UAE CSC,compliance_framework,https://csc.gov.ae/en/,uae-csc,yes,UAE CSC/DESC,url_authoritative,85,,92;52;54,active,,,
CISA-PQC-PROCUREMENT,CISA PQC Federal Buying Guidance,CISA product category list and federal procurement guidance for PQC per EO 14306,92;54,US,yes,2026 (effective Jan 2026),"CISA published PQC product category list per Executive Order 14306 identifying cloud services, web software, networking hardware, and endpoint security as PQC-ready categories. Federal agencies directed to acquire only PQC-capable products. Developed with NSA and ATARC.",CISA/NSA,CISA-PQC-CATEGORY-LIST-2026;EO-14306,United States:CISA,compliance_framework,https://www.cisa.gov/quantum,nsa-advisory,yes,CISA/NSA,url_authoritative,85,,92;54,active,,,
G7-CEG-PQC,G7 Financial Sector PQC Roadmap,G7 Cyber Expert Group coordinated PQC transition roadmap for the financial sector,52;92,PQC-REGION-GLOBAL,yes,2030-2032 (critical systems); 2035 (non-critical),"G7 Cyber Expert Group (chaired by US Treasury and Bank of England) published coordinated PQC transition framework for global financial sector (Jan 2026). Covers inventory, risk prioritization, algorithm selection, testing, and interoperability for G7 financial institutions.",G7 CEG/US Treasury,G7-Financial-PQC-Roadmap-2026;BIS-Paper-158,G7:G7 CEG,compliance_framework,https://home.treasury.gov/system/files/136/G7-CYBER-EXPERT-GROUP-STATEMENT-PLANNING-OPPORTUNITIES-RISKS-QUANTUM-COMPUTING.pdf,g7-ceg,yes,G7 CEG/US Treasury,url_authoritative,85,,52;92,active,,,
PKCS11-V32,PKCS#11 v3.2 (PQC HSM Interface),"OASIS PKCS#11 v3.2 standard adding ML-KEM, ML-DSA, and SLH-DSA mechanisms for hardware security modules",92;52;54,PQC-REGION-GLOBAL,yes,Ongoing (Committee Specification Draft April 2025),"PKCS#11 v3.2 adds PQC mechanisms: ML-KEM (CKM_ML_KEM), ML-DSA (CKM_ML_DSA), SLH-DSA (CKM_SLH_DSA). Introduces C_EncapsulateKey()/C_DecapsulateKey() for KEM operations. New key types and parameter set attributes. Critical for all HSM vendors implementing PQC.",OASIS PKCS11 TC,PKCS11-V32-OASIS,Global:OASIS,technical_standard,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/,oasis,yes,OASIS PKCS11 TC,url_authoritative,85,,92;52;54,active,,,
CAB-FORUM-SMC013,CA/Browser Forum Ballot SMC013,CA/Browser Forum ballot enabling ML-DSA PQC signatures in S/MIME certificates,54;52,PQC-REGION-GLOBAL,yes,Adopted (August 2025),"Enables ML-DSA post-quantum digital signatures in S/MIME certificates. IPR exclusion period completed with no notices. First Web PKI governance body PQC adoption, signaling CAs can issue PQC S/MIME certificates.",CA/Browser Forum,CA-B-Forum-Ballot-SMC013,Global:CA/Browser Forum,technical_standard,https://cabforum.org/,pki-consortium,yes,CA/Browser Forum,url_needs_review,85,,54;52,active,,,
ACVP,NIST ACVP (Algorithm Validation),NIST Automated Cryptographic Validation Protocol for PQC algorithm testing,54;92,US;PQC-REGION-GLOBAL,yes,Ongoing (ML-KEM/ML-DSA validation active),NIST CAVP/ACVP validates individual cryptographic algorithm implementations. Already validating ML-KEM and ML-DSA implementations. Distinct from CMVP/FIPS 140-3 which validates complete modules. Provides algorithm-level compliance evidence.,NIST,FIPS 203;FIPS 204;FIPS 205;FIPS 206;NIST SP 800-227,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,nist-csrc,yes,NIST,url_authoritative,85,,54;92,active,,,
TAIWAN-MODA-PQC,Taiwan Five-Year PQC Plan,Taiwan Ministry of Digital Affairs five-year PQC implementation plan,92;54,TW,yes,2027 (interim milestone); 2029 (completion),Taiwan MODA launched five-year PQC implementation plan (2024-2029) targeting quantum-safe government digital infrastructure. Interim quantum-safe milestone at 2027.,MODA,FIPS 203;FIPS 204;FIPS 205,Taiwan:MODA,compliance_framework,https://moda.gov.tw/en/,dod-cio,yes,MODA,url_authoritative,85,,92;54,active,,,
MALAYSIA-NACSA-PQC,Malaysia National PQC Migration,Malaysia NACSA national PQC migration roadmap — first ASEAN nation with comprehensive plan,92;54,MY,yes,2025-2030 (phased),First ASEAN nation to publish comprehensive national PQC migration roadmap (Oct 2025). Includes PQC Sandbox program for proof-of-concept testing. Phased approach aligned with NIST standards.,NACSA,FIPS 203;FIPS 204;FIPS 205,Malaysia:NACSA,compliance_framework,https://www.nacsa.gov.my/,nacsa-malaysia,yes,NACSA,url_needs_review,85,,92;54,active,,,
SAUDI-NCA-PQC,Saudi NCA Cybersecurity Controls,Saudi Arabia National Cybersecurity Authority essential cybersecurity controls with expanded cryptography domain,92;52;22,SA,no,Ongoing (ECC-2:2024),"NCA released Essential Cybersecurity Controls 2024 (ECC-2:2024) with expanded cryptography domain covering encryption strength, key management, secure protocols, and lifecycle governance. National quantum strategy with M budget aligned with Vision 2030.",NCA,FIPS 203;FIPS 204;FIPS 205,Saudi Arabia:NCA,compliance_framework,https://nca.gov.sa/en/,saudi-nca,yes,NCA,url_needs_review,85,,92;52;22,active,,,
BIS-158-PQC,BIS Paper 158 Quantum Roadmap,Bank for International Settlements quantum-readiness roadmap for global financial systems,52,PQC-REGION-GLOBAL,guidance,No deadline set by source,"BIS Papers No 158 (Jul 2025) is a research paper by BIS staff, explicitly not a supervisory directive (cover: 'views of the authors, not the BIS or member central banks'). The 'early 2030s' framing previously here was inferred from the paper's single citation of NIST IR 8547 (RSA deprecation 2030 / disallowed 2035), not from BIS-158's own roadmap, which has no dates attached.",BIS,BIS-Paper-158,International:BIS,compliance_framework,https://www.bis.org/publ/bppdf/bispap158.htm,bis,yes,BIS,url_needs_review,85,,52,active,,,
3GPP-PQC,3GPP PQC for 5G/6G,3GPP SA3 study on integrating PQC into 5G security protocols,51,PQC-REGION-GLOBAL,yes,Ongoing (study item approved May 2025),"3GPP SA3 study (TR 33.841) on integrating standalone or hybrid PQC algorithms into existing 5G security protocols including TLS, IPSec, and IKEv2. Complements GSMA NG.116 and ETSI QSC work.",3GPP SA3,3GPP-PQC-Study-2025,Global:3GPP SA3,technical_standard,https://www.3gpp.org/,etsi-cyber,yes,3GPP SA3,url_needs_review,85,,51,active,,,
TCG-TPM-PQC,TCG TPM 2.0 PQC Spec,Trusted Computing Group TPM 2.0 library specification update incorporating PQC algorithms,54;92,PQC-REGION-GLOBAL,yes,Draft (July 2025),"TPM 2.0 Library specification updates incorporating FIPS 203/204 PQC algorithms with hybrid classical+PQ support. Aligns with TPM 2.0 v1.85 standard. Affects every PC, server, and embedded device using hardware root of trust.",TCG,TCG-TPM-PQC-Spec-2025,Global:TCG,technical_standard,https://trustedcomputinggroup.org/,tcg,yes,TCG,url_needs_review,85,,54;92,active,,,
NIST-NCCOE-PQC,NIST NCCoE SP 1800-38 Migration Guide,NIST NCCoE practical enterprise PQC migration guide with reference architectures,92;54;52,US,yes,Ongoing (Preliminary Draft),NCCoE Migration to PQC project — current project landing page. Associated formal publication series: NIST SP 1800-38 (Practice Guides; volumes 38A/38B/38C in preliminary draft). Static documentation: pages.nist.gov/nccoe-migration-post-quantum-cryptography. The previous Initial Preliminary Draft URL (csrc.nist.gov/pubs/sp/1800/38/iprd) was marked Obsoleted on Dec 19 2023.,NIST NCCoE,NIST NCCoE SP 1800-38C;NIST CSWP 48,United States:NIST NCCoE,technical_standard,https://www.nccoe.nist.gov/applied-cryptography/migration-to-pqc,nist-csrc,yes,NIST NCCoE,url_authoritative,85,,92;54;52,active,,,
NIST-SP800-131A,NIST SP 800-131A Rev 3,NIST algorithm deprecation roadmap — SHA-1 and weak RSA/ECC disallowed after 2030,92;54;52,US;PQC-REGION-GLOBAL,yes,2030 (SHA-1/weak RSA/ECC disallowed),Federal algorithm retirement calendar. SHA-1 and RSA/ECC below 128-bit security disallowed after 2030. Establishes FIPS 203/204/205 as post-2030 replacements. Distinct from IR 8547 in covering all algorithm deprecation not just PQC transition.,NIST,NIST-SP-800-131A-Rev3,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd,nist-csrc,yes,NIST,url_authoritative,85,,92;54;52,active,,,
INDIA-CERTIN-CBOM,India CERT-In CBOM/QBOM Guidelines,India CERT-In expanded Bill of Materials requirements including Cryptographic BOM and Quantum Readiness BOM,92;54,IN,yes,2025 (effective),CERT-In expands Bill of Materials requirements to include Cryptographic BOM (CBOM) and Quantum Readiness BOM (QBOM). First national CBOM mandate from any country. Part of India broader PQC migration framework under National Quantum Mission.,CERT-In,FIPS 203;FIPS 204;FIPS 205,India:CERT-In,compliance_framework,https://www.cert-in.org.in/,cert-in,yes,CERT-In,url_needs_review,85,,92;54,active,,,
ITALY-ACN-PQC,Italy ACN PQC Guidance,Italy Agenzia per la Cybersicurezza Nazionale post-quantum cryptography guidance,92;54,IT,yes,Ongoing (2024 guidance),ACN published PQC guidance (July 2024) covering quantum threat landscape and migration recommendations. Italy also participates in BIS Project Leap Phase 2 testing hybrid PQC on TARGET2 payment system.,ACN,FIPS 203;FIPS 204;FIPS 205,Italy:ACN,compliance_framework,https://www.acn.gov.it/,acsc,yes,ACN,url_needs_review,85,,92;54,active,,,
SPAIN-CCN-PQC,Spain CCN Four-Phase PQC,Spain Centro Criptologico Nacional four-phase PQC transition approach,92,ES,yes,2030 (four-phase approach through post-2030),CCN defines four-phase PQC approach from current state through post-2030 full transition. Recommends NIST algorithms and FrodoKEM. Active since 2022.,CCN,FIPS 203;FIPS 204;FIPS 205,Spain:CCN,compliance_framework,https://www.ccn-cert.cni.es/,ncsc-uk,yes,CCN,url_needs_review,85,,92,active,,,
BAHRAIN-NCSC-PQC,Bahrain Quantum-Safe Deployment,Bahrain National Cyber Security Centre quantum-safe cybersecurity deployment across government,92,BH,yes,2025 (deployment underway),One of the world first large-scale national quantum-safe commitments. Deployed AQtive Guard across 60+ government ministries for automated cryptographic discovery and PQC transition readiness.,Bahrain NCSC,FIPS 203;FIPS 204;FIPS 205,Bahrain:NCSC,compliance_framework,https://www.ncsc.gov.bh/en/index.html,ncsc-uk,yes,Bahrain NCSC,url_needs_review,85,,92,active,,,
JORDAN-CBJ-PQC,Jordan Financial Sector PQC Roadmap,Central Bank of Jordan sector-wide roadmap for transitioning banks to quantum-resistant encryption,52,JO,yes,2026 (roadmap published),"Central Bank of Jordan published sector-wide PQC roadmap (Jan 2026) with phased approach: cryptographic asset cataloging, risk-based prioritization, governance integration, sandbox testing, and full transition.",CBJ,FIPS 203;FIPS 204;FIPS 205,Jordan:CBJ,compliance_framework,https://www.cbj.gov.jo/,bdf,yes,CBJ,url_authoritative,85,,52,active,,,
UK-CMORG-PQC,UK CMORG Financial PQC Guidance,UK Cross Market Operational Resilience Group PQC guidance for financial sector,52;92,GB,yes,Ongoing (v1.0 April 2025),"CMORG (convened by Bank of England) published PQC guidance specifically for UK financial sector covering threat landscape, algorithm selection, migration planning, and prioritization. Complements UK NCSC guidance with financial sector focus.",CMORG/Bank of England,UK-CMORG-PQC-Guidance-2025,United Kingdom:CMORG,compliance_framework,https://www.cmorg.org.uk/,boe,yes,CMORG/Bank of England,url_needs_review,85,,52;92,active,,,
EUROPOL-QSFF,Europol Quantum Safe Financial Forum,Europol QSFF call to action for financial sector PQC migration,52,PQC-REGION-EU,yes,Ongoing (Feb 2025 call to action),Europol Quantum Safe Financial Forum found 86% of financial executives unprepared for PQC. Published joint guidance with FS-ISAC (Jan 2026) introducing Quantum Risk Score framework for migration prioritization.,Europol/FS-ISAC,Europol-FS-ISAC-PQC-Financial-2026,European Union:Europol,compliance_framework,https://www.europol.europa.eu/,fs-isac,yes,Europol/FS-ISAC,url_needs_review,85,,52,active,,,
PQCC-ROADMAP,PQCC Migration Roadmap,Post-Quantum Cryptography Coalition cross-sector PQC migration framework,54;52;92,PQC-REGION-GLOBAL,yes,Ongoing,"PQCC (founded by IBM, Microsoft, MITRE, PQShield, SandboxAQ) published PQC Migration Roadmap (May 2025) with four-category framework and PQC Inventory Workbook (June 2025). Becoming a de facto industry reference for enterprise PQC migration.",PQCC,PQCC-Migration-Roadmap-2025;PQCC-Inventory-Workbook-2025,International:PQCC,technical_standard,https://pqcc.org/,pqca,yes,PQCC,url_needs_review,85,,54;52;92,active,,,
IEEE-1609-PQC,IEEE 1609.2 PQC Amendment (V2X),IEEE vehicular communications security standard update for PQC,48;51,PQC-REGION-GLOBAL,yes,Ongoing (2025 amendment),IEEE 1609.2 amendment adds ML-KEM and ML-DSA PQC support for vehicle-to-everything (V2X) communications security. Directly affects automotive OEMs and connected vehicle infrastructure.,IEEE,IEEE 1609.2 Amendment,,technical_standard,https://standards.ieee.org/,ieee-sa,yes,IEEE,url_authoritative,85,,48;51,active,,,
OASIS-PKCS11,OASIS PKCS#11 Technical Committee,OASIS technical committee defining the PKCS#11 HSM programming interface standard,54;92;52,PQC-REGION-GLOBAL,yes,Ongoing,"OASIS defines the PKCS#11 standard — the programming interface that every hardware security module implements. PQC mechanisms in v3.2 (ML-KEM, ML-DSA, SLH-DSA) will drive the entire HSM industry PQC adoption.",OASIS,PKCS11-V32-OASIS,,technical_standard,https://www.oasis-open.org/committees/pkcs11/,oasis,yes,OASIS,url_authoritative,85,,54;92;52,active,,,
3GPP-SA3,3GPP Security Working Group,3GPP SA3 — global mobile network security standards working group studying PQC integration,51,PQC-REGION-GLOBAL,yes,Ongoing,3GPP SA3 defines global mobile network security standards for 5G and 6G. Actively studying PQC integration into core network protocols. Distinct from ETSI and GSMA. TR 33.841 (PQC Study) approved May 2025.,3GPP,3GPP-PQC-Study-2025,,standardization_body,https://www.3gpp.org/specifications-groups/sa-plenary/sa3-security,etsi-cyber,yes,3GPP,url_needs_review,85,,51,active,,,
FSISAC-PQC,FS-ISAC PQC Migration Guidance,Financial Services Information Sharing and Analysis Center PQC migration advisory,52,PQC-REGION-GLOBAL,yes,Ongoing (Sept 2025),FS-ISAC (Sept 2025) warns financial sector has not defined resources for PQC migration. Joint Europol-FS-ISAC report (Jan 2026) provides Quantum Risk Score framework and migration complexity assessment for financial institutions.,FS-ISAC,Europol-FS-ISAC-PQC-Financial-2026,,compliance_framework,https://www.fsisac.com/,fs-isac,yes,FS-ISAC,url_needs_review,85,,52,active,,,
ASC-X9,ASC X9 Financial PKI & PQC Standards,"Accredited Standards Committee X9 develops cryptographic standards for the financial services industry. X9 Financial PKI (launched June 2025, with DigiCert) provides PQC-enabled certificate infrastructure for banks, payment terminals, and financial enterprises. Key PQC standards: X9.146 (Quantum TLS for financial services), X9 TR-50 (Quantum Techniques in CMS), and the X9 PQC Financial Readiness Needs Assessment (2025).",52,US;PQC-REGION-GLOBAL,yes,Ongoing (Financial PKI launched June 2025),X9 Financial PKI supports ML-KEM and ML-DSA alongside legacy algorithms for backward compatibility. X9.146 Quantum TLS draft in beta testing (2025). X9 is the primary ANSI-accredited standards body for financial cryptography in the US.,ASC X9; ANSI,ASC-X9-Financial-PKI;ASC-X9-PQC-Readiness-2025;ASC-X9-IR-F01-2022;ASC-X9-TR-50-2019,,technical_standard,https://x9.org/pki-home/,ascx9,yes,ASC X9; ANSI,url_needs_review,85,,52,active,,,
PKI-CONSORTIUM,PKI Consortium,Industry consortium coordinating PQC readiness for PKI operators and certificate authorities,54;52,PQC-REGION-GLOBAL,yes,Ongoing,"PKI Consortium (pkic.org) organizes annual PQC conferences and publishes PQC migration guidance for certificate authorities. Active since 2013; PQC focus accelerated since 2023. Members include DigiCert, Sectigo, Keyfactor, Entrust. Published hybrid certificate guidance and interoperability testing reports for ML-DSA and composite certificates.",PKI Consortium,PKI-Consortium-PQC-2025,,standardization_body,https://pkic.org/,pki-consortium,yes,PKI Consortium,url_needs_review,85,,54;52,active,,,
CSA-QSC,Cloud Security Alliance,Cloud Security Alliance Quantum-Safe Working Group developing quantum security controls for cloud environments,54,PQC-REGION-GLOBAL,no,Ongoing,CSA Quantum-Safe Security Working Group publishes guidance on quantum-safe cloud security controls. CCM v4 includes cryptographic governance controls applicable to PQC migration. CSA also maintains the Cloud Controls Matrix used by cloud providers for compliance attestation. Referenced by CSA quantum-safe guidelines cited in threat profiles CLOUD-001 through CLOUD-004.,CSA,FIPS 203;FIPS 204;FIPS 205,,standardization_body,https://cloudsecurityalliance.org/,csa-cloud,yes,CSA,url_needs_review,85,,54,active,,,
ITU-T-SG17,ITU-T SG17,ITU Telecommunication Standardization Sector Study Group 17 on security standards for global telecom PQC transition,51,PQC-REGION-GLOBAL,yes,Ongoing,ITU-T Study Group 17 (Security) includes Question 14/17 studying PQC for telecommunications networks. Develops X-series security recommendations. Coordinates with 3GPP SA3 and ETSI QSC on telecom PQC standardization. Focus areas include 5G/6G security architecture with PQC integration and quantum-safe key management for network operators.,ITU-T,FIPS 203;FIPS 204;FIPS 205,,standardization_body,https://www.itu.int/en/ITU-T/studygroups/2022-2024/17/Pages/default.aspx,itu,yes,ITU-T,url_authoritative,85,,51,active,,,
NIST-SP800-208,NIST SP 800-208,NIST recommendation for stateful hash-based signature schemes (LMS and XMSS),92;54,US;PQC-REGION-GLOBAL,yes,Ongoing (published October 2020),NIST SP 800-208 specifies the Leighton-Micali Signature (LMS) and eXtended Merkle Signature Scheme (XMSS) for firmware signing and other stateful signature applications. Referenced by CNSA 2.0 as an approved signature algorithm for national security systems. Critical for firmware signing and code signing where stateful signatures are acceptable. Requires careful state management to prevent one-time key reuse.,NIST,NIST SP 800-208,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/sp/800/208/final,nist-csrc,yes,NIST,url_authoritative,85,,92;54,active,,,
ISO-19790,ISO/IEC 19790:2024,International standard for security requirements for cryptographic modules — equivalent of FIPS 140-3,92;54;52,PQC-REGION-GLOBAL,no,Ongoing (3rd edition published 2024),"ISO/IEC 19790:2024 (3rd edition) defines security requirements for cryptographic modules. International equivalent of NIST FIPS 140-3. Used by JCMVP (Japan), KCMVP (South Korea), and as the basis for EUCC cryptographic module evaluation. PQC algorithm testing requirements are being updated as ISO/IEC JTC 1/SC 27 publishes PQC standards. Organizations outside US jurisdiction often require ISO/IEC 19790 rather than FIPS 140-3.",ISO/IEC JTC 1/SC 27,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.iso.org/standard/85063.html,iso-iec-sc27,yes,ISO/IEC JTC 1/SC 27,url_authoritative,85,,92;54;52,active,,,FIPS-140
ETSI-QKD-SERIES,ETSI GS QKD Series,ETSI Group Specification series for Quantum Key Distribution covering protocols interfaces and network management,51;92,PQC-REGION-EU;PQC-REGION-GLOBAL,no,Ongoing,"ETSI ISG QKD has published 18 specifications covering QKD protocol interfaces (GS QKD 004), key delivery APIs (GS QKD 014), network interoperability (GS QKD 018), and management. QKD complements PQC for defense-in-depth in high-assurance environments. India DST/NQM roadmap recommends hybrid PQC plus QKD. BSI and ANSSI have published joint position papers on QKD vs PQC trade-offs.",ETSI ISG QKD,ETSI-GS-QKD-002;ETSI-GS-QKD-004;ETSI-GS-QKD-014;ETSI-GS-QKD-018,,technical_standard,https://www.etsi.org/committee/1430-qkd,etsi-cyber,yes,ETSI ISG QKD,url_authoritative,85,,51;92,active,,,
ANSSI-CERT,ANSSI Security Certification,French national cybersecurity certification scheme — issued world first PQC product certifications in 2025,92;54,FR,yes,2027 (mandatory PQC qualification),ANSSI security certification scheme issued the world first PQC product certifications (Sept-Oct 2025): Thales Smartcard MultiApp 5.2 Premium PQC (EAL5+) and Samsung S3SSE2A. The qualification process will require PQC from 2027 for new product submissions. ANSSI operates under the EUCC scheme and the SOG-IS Mutual Recognition Agreement. Separate from ANSSI as a standardization body (ANSSI-BODY).,ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025;ANSSI-PG-083-v3-2026,France:ANSSI,certification_body,https://cyber.gouv.fr/offre-de-service/solutions-certifiees-et-qualifiees/,anssi,yes,ANSSI,url_authoritative,85,,92;54,active,,,
JCMVP,JCMVP,Japanese Cryptographic Module Validation Program — Japan equivalent of NIST CMVP for government procurement,92;54,JP,no,Ongoing (PQC integration pending CRYPTREC evaluation),JCMVP (Japanese Cryptographic Module Validation Program) is run by IPA (Information-technology Promotion Agency Japan). Japan equivalent of NIST CMVP/FIPS 140-3 based on ISO/IEC 19790 and JIS X 19790. Mandatory for Japanese government cryptographic module procurement. PQC algorithm integration is expected after CRYPTREC completes its PQC evaluation and publishes updated cipher recommendations.,IPA/METI,Japan CRYPTREC Report 2024,Japan:CRYPTREC,certification_body,https://www.ipa.go.jp/en/security/jcmvp/index.html,cryptrec,yes,IPA/METI,url_needs_review,85,,92;54,active,,,
